"114年03月13日 信用額度總量管制餘額表"
"股票",,"融券",,,,,,"借券賣出",,,,,,"",
"代號","名稱","前日餘額","賣出","買進","現券","今日餘額","次一營業日限額","前日餘額","當日賣出","當日還券","當日調整","當日餘額","次一營業日可限額","備註",
="0050","元大台灣50","76,000","20,000","40,000","0","56,000","655,375,000","34,970,000","382,000","1,600,000","0","33,752,000","6,047,487"," ",
="0051","元大中型100","0","0","0","0","0","6,375,000","383,000","0","0","0","383,000","38,215"," ",
="0052","富邦科技","3,000","0","0","0","3,000","20,500,000","1,235,000","0","72,000","0","1,163,000","260,499"," ",
="0053","元大電子","0","0","0","0","0","1,372,000","51,000","0","0","0","51,000","5,028"," ",
="0055","元大MSCI金融","0","0","0","0","0","18,913,500","390,000","0","0","0","390,000","41,163"," ",
="0056","元大高股息","34,000","6,000","0","0","40,000","2,805,133,500","92,361,000","600,000","9,000","0","92,952,000","10,360,990"," ",
="0057","富邦摩台","0","0","0","0","0","381,750","0","0","0","0","0","6,660","X ",
="0061","元大寶滬深","0","0","0","0","0","38,029,000","993,000","0","0","0","993,000","152,606"," ",
="006203","元大MSCI台灣","0","0","0","0","0","2,554,500","8,000","0","0","0","8,000","3,242","X ",
="006204","永豐臺灣加權","0","0","0","0","0","375,000","0","0","0","0","0","2,485"," ",
="006205","富邦上証","0","0","0","0","0","35,484,750","1,601,000","0","0","0","1,601,000","180,609"," ",
="006206","元大上證50","1,000","0","0","0","1,000","11,069,500","895,000","0","0","0","895,000","64,995"," ",
="006207","復華滬深","0","0","0","0","0","8,098,000","730,000","0","0","0","730,000","56,743"," ",
="006208","富邦台50","9,000","6,000","0","0","15,000","483,510,000","52,450,000","579,000","121,000","0","52,908,000","4,453,205"," ",
="00631L","元大台灣50正2","2,153,000","230,000","119,000","0","2,264,000","38,521,000","6,815,000","0","48,000","0","6,767,000","1,709,505"," ",
="00632R","元大台灣50反1","6,204,000","148,000","67,000","0","6,285,000","285,801,932","32,804,000","596,000","0","0","33,400,000","6,928,384"," ",
="00633L","富邦上証正2","681,000","224,000","2,000","0","903,000","72,614,500","17,113,000","0","0","0","17,113,000","2,214,557"," ",
="00634R","富邦上証反1","57,000","0","0","0","57,000","11,689,000","43,000","0","0","0","43,000","121,936"," ",
="00635U","期元大S&P黃金","70,000","3,000","0","0","73,000","11,753,500","1,052,000","0","1,000","0","1,051,000","366,513"," ",
