"114年03月07日 信用額度總量管制餘額表"
"股票",,"融券",,,,,,"借券賣出",,,,,,"",
"代號","名稱","前日餘額","賣出","買進","現券","今日餘額","次一營業日限額","前日餘額","當日賣出","當日還券","當日調整","當日餘額","次一營業日可限額","備註",
="0050","元大台灣50","109,000","28,000","4,000","0","133,000","637,000,000","39,414,000","205,000","9,329,000","0","30,290,000","5,716,113"," ",
="0051","元大中型100","0","0","0","0","0","6,375,000","383,000","0","0","0","383,000","36,292"," ",
="0052","富邦科技","5,000","0","0","0","5,000","20,375,000","1,175,000","28,000","0","0","1,203,000","283,612"," ",
="0053","元大電子","0","0","0","0","0","1,372,000","51,000","0","0","0","51,000","4,935"," ",
="0055","元大MSCI金融","0","0","0","0","0","19,913,500","388,000","0","0","0","388,000","40,560"," ",
="0056","元大高股息","38,000","2,000","3,000","0","37,000","2,766,633,500","89,430,000","408,000","0","0","89,838,000","11,341,041"," ",
="0057","富邦摩台","0","0","0","0","0","381,750","0","0","0","0","0","6,995","X ",
="0061","元大寶滬深","0","0","0","0","0","38,029,000","993,000","0","0","0","993,000","147,948"," ",
="006203","元大MSCI台灣","0","0","0","0","0","2,554,500","8,000","0","0","0","8,000","3,148","X ",
="006204","永豐臺灣加權","0","0","0","0","0","375,000","0","0","0","0","0","2,192"," ",
="006205","富邦上証","0","0","0","0","0","35,484,750","1,601,000","0","0","0","1,601,000","190,018"," ",
="006206","元大上證50","1,000","0","0","0","1,000","11,319,500","895,000","0","0","0","895,000","58,630"," ",
="006207","復華滬深","0","0","0","0","0","8,098,000","729,000","0","0","0","729,000","56,265"," ",
="006208","富邦台50","6,000","2,000","0","0","8,000","476,760,000","52,127,000","1,000","0","0","52,128,000","4,484,481"," ",
="00631L","元大台灣50正2","2,049,000","103,000","131,000","0","2,021,000","36,021,000","6,649,000","0","0","0","6,649,000","1,615,641"," ",
="00632R","元大台灣50反1","5,881,000","82,000","10,000","0","5,953,000","273,801,932","32,056,000","322,000","35,000","0","32,343,000","6,809,652"," ",
="00633L","富邦上証正2","857,000","23,000","1,000","0","879,000","72,614,500","16,690,000","0","189,000","0","16,501,000","2,167,158"," ",
="00634R","富邦上証反1","57,000","0","0","0","57,000","11,689,000","43,000","0","0","0","43,000","80,377"," ",
="00635U","期元大S&P黃金","78,000","0","0","0","78,000","11,753,500","1,052,000","0","0","0","1,052,000","362,660"," ",
="00636","國泰中國A50","21,000","0","0","0","21,000","47,206,250","2,217,000","0","0","0","2,217,000","491,247"," ",
="00637L","元大滬深300正2","5,355,000","787,000","14,000","0","6,128,000","527,276,500","100,389,000","142,000","1,100,000","0","99,431,000","23,421,453"," ",
="00638R","元大滬深300反1","17,000","0","0","0","17,000","8,987,000","849,000","0","0","0","849,000","190,522"," ",
="00639","富邦深100","96,000","0","0","0","96,000","52,475,750","3,915,000","0","0","0","3,915,000","616,360"," ",
="00640L","富邦日本正2","146,000","10,000","40,000","0","116,000","3,979,750","622,000","0","0","0","622,000","147,820"," ",
="00641R","富邦日本反1","226,000","1,000","10,000","0","217,000","13,064,500","0","0","0","0","0","385,619"," ",
="00642U","期元大S&P石油","87,000","2,000","52,000","0","37,000","34,205,250","2,516,000","0","0","0","2,516,000","1,059,167"," ",
="00643","群益深証中小","125,000","0","0","0","125,000","31,768,250","5,173,000","239,000","0","0","5,412,000","1,202,436"," ",
="00645","富邦日本","1,000","0","0","0","1,000","18,999,250","1,097,000","30,000","0","0","1,127,000","168,049"," ",
="00646","元大S&P500","3,000","0","0","0","3,000","135,746,250","10,918,000","660,000","0","0","11,578,000","1,790,793"," ",
="00647L","元大S&P500正2","9,000","2,000","3,000","0","8,000","2,479,000","265,000","0","0","0","265,000","80,653"," ",
="00648R","元大S&P500反1","416,000","20,000","0","0","436,000","36,672,000","1,794,000","0","0","0","1,794,000","430,154"," ",
="00650L","復華香港正2","8,177,000","1,006,000","1,535,000","0","7,648,000","60,084,500","18,103,000","0","345,000","0","17,758,000","6,275,800"," ",
="00651R","復華香港反1","13,000","0","0","0","13,000","13,048,000","1,614,000","0","92,000","0","1,522,000","895,203"," ",
="00652","富邦印度","7,000","0","0","0","7,000","25,383,750","2,268,000","0","0","0","2,268,000","171,076"," ",
="00653L","富邦印度正2","27,000","4,000","1,000","0","30,000","5,850,750","673,000","5,000","0","0","678,000","144,859"," ",
="00654R","富邦印度反1","169,000","0","0","0","169,000","5,241,500","19,000","0","0","0","19,000","78,358"," ",
="00655L","國泰中國A50正2","421,000","17,000","20,000","0","418,000","39,239,500","9,027,000","0","0","0","9,027,000","1,606,673"," ",
="00656R","國泰中國A50反1","1,000","0","0","0","1,000","5,464,250","9,000","0","0","0","9,000","113,160"," ",
="00657","國泰日經225","0","0","0","0","0","2,771,000","180,000","0","0","0","180,000","100,938"," ",
