"114年02月14日 信用額度總量管制餘額表"
"股票",,"融券",,,,,,"借券賣出",,,,,,"",
"代號","名稱","前日餘額","賣出","買進","現券","今日餘額","次一營業日限額","前日餘額","當日賣出","當日還券","當日調整","當日餘額","次一營業日可限額","備註",
="0050","元大台灣50","165,000","16,000","15,000","0","166,000","584,750,000","27,418,000","1,243,000","372,000","0","28,289,000","4,421,212"," ",
="0051","元大中型100","0","0","0","0","0","6,250,000","383,000","0","0","0","383,000","33,319"," ",
="0052","富邦科技","1,000","0","0","0","1,000","20,000,000","875,000","0","0","0","875,000","289,203"," ",
="0053","元大電子","0","0","0","0","0","1,372,000","51,000","0","0","0","51,000","4,826"," ",
="0055","元大MSCI金融","0","0","0","0","0","19,913,500","388,000","0","0","0","388,000","47,096"," ",
="0056","元大高股息","62,000","1,000","0","0","63,000","2,734,508,500","90,992,000","114,000","0","0","91,106,000","15,518,490"," ",
="0057","富邦摩台","0","0","0","0","0","381,750","0","0","0","0","0","7,024"," ",
="0061","元大寶滬深","0","0","0","0","0","38,029,000","1,065,000","0","0","0","1,065,000","151,999"," ",
="006203","元大MSCI台灣","0","0","0","0","0","2,554,500","8,000","0","0","0","8,000","3,075","X ",
="006204","永豐臺灣加權","0","0","0","0","0","375,000","0","0","0","0","0","3,178"," ",
="006205","富邦上証","0","0","0","0","0","36,109,750","1,601,000","0","0","0","1,601,000","190,682"," ",
="006206","元大上證50","1,000","0","0","0","1,000","11,319,500","894,000","0","0","0","894,000","44,571"," ",
="006207","復華滬深","0","0","0","0","0","8,223,000","848,000","17,000","0","0","865,000","49,611"," ",
="006208","富邦台50","7,000","0","0","0","7,000","445,135,000","53,892,000","83,000","0","0","53,975,000","4,236,606"," ",
="00631L","元大台灣50正2","2,506,000","9,000","118,000","0","2,397,000","31,021,000","6,488,000","2,000","0","0","6,490,000","1,533,390"," ",
="00632R","元大台灣50反1","5,278,000","93,000","21,000","0","5,350,000","287,301,932","31,100,000","1,079,000","0","0","32,179,000","6,084,885"," ",
="00633L","富邦上証正2","643,000","282,000","1,000","0","924,000","72,489,500","15,493,000","0","0","0","15,493,000","2,547,888"," ",
="00634R","富邦上証反1","61,000","0","0","0","61,000","11,689,000","43,000","0","0","0","43,000","98,654"," ",
="00635U","期元大S&P黃金","55,000","1,000","2,000","0","54,000","10,753,500","812,000","0","0","0","812,000","275,553"," ",
="00636","國泰中國A50","21,000","0","0","0","21,000","47,456,250","2,217,000","0","0","0","2,217,000","424,037"," ",
="00637L","元大滬深300正2","6,793,000","552,000","462,000","0","6,883,000","528,401,500","91,272,000","0","5,005,000","0","86,267,000","25,625,385"," ",
="00638R","元大滬深300反1","45,000","0","9,000","0","36,000","8,987,000","849,000","0","0","0","849,000","243,328"," ",
="00639","富邦深100","95,000","0","0","0","95,000","60,600,750","3,915,000","0","0","0","3,915,000","525,999"," ",
="00640L","富邦日本正2","177,000","11,000","0","0","188,000","3,979,750","646,000","0","0","0","646,000","139,685"," ",
="00641R","富邦日本反1","249,000","0","4,000","0","245,000","13,314,500","0","0","0","0","0","301,359"," ",
="00642U","期元大S&P石油","128,000","8,000","0","0","136,000","25,330,250","2,412,000","0","0","0","2,412,000","846,543"," ",
="00643","群益深証中小","125,000","0","0","0","125,000","30,018,250","5,091,000","18,000","0","0","5,109,000","1,339,634"," ",
="00645","富邦日本","1,000","0","0","0","1,000","19,499,250","1,066,000","0","0","0","1,066,000","192,489"," ",
="00646","元大S&P500","7,000","0","0","0","7,000","131,621,250","12,983,000","6,000","0","0","12,989,000","1,908,516"," ",
="00647L","元大S&P500正2","4,000","0","0","0","4,000","2,479,000","234,000","0","0","0","234,000","81,323"," ",
="00648R","元大S&P500反1","267,000","1,000","0","0","268,000","36,672,000","2,083,000","0","0","0","2,083,000","365,548"," ",
="00650L","復華香港正2","7,897,000","188,000","241,000","0","7,844,000","72,459,500","21,965,000","0","662,000","0","21,303,000","4,675,992"," ",
="00651R","復華香港反1","13,000","0","0","0","13,000","8,548,000","690,000","0","0","0","690,000","307,095"," ",
="00652","富邦印度","8,000","0","0","0","8,000","24,633,750","2,100,000","0","0","0","2,100,000","148,716"," ",
="00653L","富邦印度正2","19,000","0","1,000","0","18,000","5,475,750","597,000","3,000","0","0","600,000","113,454"," ",
="00654R","富邦印度反1","164,000","0","5,000","0","159,000","5,241,500","20,000","0","0","0","20,000","69,318"," ",
="00655L","國泰中國A50正2","443,000","52,000","0","0","495,000","38,614,500","7,887,000","0","0","0","7,887,000","1,750,821"," ",
