"114年01月16日 信用額度總量管制餘額表"
"股票",,"融券",,,,,,"借券賣出",,,,,,"",
"代號","名稱","前日餘額","賣出","買進","現券","今日餘額","次一營業日限額","前日餘額","當日賣出","當日還券","當日調整","當日餘額","次一營業日可限額","備註",
="0050","元大台灣50","0","0","0","0","0","557,875,000","24,203,000","1,098,000","0","0","25,301,000","3,151,681"," ",
="0051","元大中型100","0","0","0","0","0","6,125,000","383,000","0","0","0","383,000","32,202"," ",
="0052","富邦科技","2,000","0","1,000","0","1,000","19,750,000","1,050,000","40,000","0","0","1,090,000","256,467"," ",
="0053","元大電子","0","0","0","0","0","1,372,000","51,000","0","0","0","51,000","4,728"," ",
="0055","元大MSCI金融","0","0","0","0","0","18,163,500","386,000","0","0","0","386,000","48,330"," ",
="0056","元大高股息","0","0","0","0","0","2,658,383,500","135,979,000","3,554,000","0","0","139,533,000","14,108,167"," ",
="0057","富邦摩台","0","0","0","0","0","381,750","0","0","0","0","0","6,489","X ",
="0061","元大寶滬深","0","0","0","0","0","38,154,000","1,273,000","0","0","0","1,273,000","194,690"," ",
="006203","元大MSCI台灣","0","0","0","0","0","2,554,500","8,000","0","0","0","8,000","2,744"," ",
="006204","永豐臺灣加權","0","0","0","0","0","375,000","0","0","0","0","0","3,009"," ",
="006205","富邦上証","0","0","0","0","0","39,609,750","1,690,000","0","0","0","1,690,000","234,529"," ",
="006206","元大上證50","2,000","0","0","0","2,000","11,319,500","883,000","0","0","0","883,000","44,351"," ",
="006207","復華滬深","0","0","0","0","0","8,473,000","866,000","0","0","0","866,000","54,992"," ",
="006208","富邦台50","9,000","11,000","3,000","0","17,000","420,760,000","53,441,000","488,000","0","0","53,929,000","3,435,681"," ",
="00631L","元大台灣50正2","2,201,000","231,000","78,000","0","2,354,000","34,146,000","6,847,000","2,000","49,000","0","6,800,000","1,489,766"," ",
="00632R","元大台灣50反1","6,940,000","963,000","199,000","0","7,704,000","284,926,932","27,980,000","0","744,000","0","27,236,000","12,170,632"," ",
="00633L","富邦上証正2","1,442,000","4,000","17,000","0","1,429,000","73,489,500","14,557,000","0","0","0","14,557,000","2,758,318"," ",
="00634R","富邦上証反1","61,000","0","0","0","61,000","11,689,000","43,000","0","0","0","43,000","94,775"," ",
="00635U","期元大S&P黃金","28,000","1,000","0","0","29,000","11,128,500","558,000","0","0","0","558,000","227,539"," ",
="00636","國泰中國A50","24,000","0","0","0","24,000","48,581,250","3,403,000","0","0","0","3,403,000","489,461"," ",
="00637L","元大滬深300正2","4,075,000","18,000","425,000","0","3,668,000","532,526,500","84,144,000","68,000","2,700,000","0","81,512,000","27,082,676"," ",
="00638R","元大滬深300反1","45,000","0","0","0","45,000","8,987,000","849,000","0","0","0","849,000","271,109"," ",
="00639","富邦深100","112,000","5,000","0","0","117,000","61,100,750","5,046,000","0","84,000","0","4,962,000","552,849"," ",
="00640L","富邦日本正2","193,000","3,000","5,000","0","191,000","4,479,750","662,000","0","0","0","662,000","116,907"," ",
="00641R","富邦日本反1","278,000","0","0","0","278,000","13,564,500","473,000","0","0","0","473,000","198,772"," ",
="00642U","期元大S&P石油","196,000","8,000","20,000","0","184,000","26,080,250","2,394,000","0","0","0","2,394,000","1,019,576"," ",
="00643","群益深証中小","125,000","0","0","0","125,000","28,893,250","3,777,000","0","0","0","3,777,000","1,762,816"," ",
="00645","富邦日本","1,000","0","0","0","1,000","20,124,250","916,000","0","0","0","916,000","158,847"," ",
="00646","元大S&P500","3,000","0","0","0","3,000","123,871,250","7,857,000","934,000","0","0","8,791,000","1,542,877"," ",
="00647L","元大S&P500正2","6,000","0","0","0","6,000","2,854,000","219,000","0","0","0","219,000","88,737"," ",
="00648R","元大S&P500反1","295,000","2,000","4,000","0","293,000","38,172,000","2,811,000","0","0","0","2,811,000","301,627"," ",
="00650L","復華香港正2","2,670,000","272,000","34,000","0","2,908,000","93,709,500","29,545,000","0","0","0","29,545,000","4,726,690"," ",
="00651R","復華香港反1","14,000","0","0","0","14,000","7,173,000","75,000","0","0","0","75,000","139,186"," ",
="00652","富邦印度","8,000","0","0","0","8,000","24,383,750","1,801,000","0","0","0","1,801,000","120,573"," ",
="00653L","富邦印度正2","42,000","0","1,000","0","41,000","4,975,750","351,000","0","0","0","351,000","101,220"," ",
="00654R","富邦印度反1","146,000","0","0","0","146,000","5,366,500","49,000","0","29,000","0","20,000","60,077"," ",
="00655L","國泰中國A50正2","286,000","2,000","17,000","0","271,000","39,239,500","8,299,000","0","0","0","8,299,000","1,776,546"," ",
="00656R","國泰中國A50反1","1,000","0","0","0","1,000","5,339,250","9,000","0","0","0","9,000","162,666"," ",
="00657","國泰日經225","0","0","0","0","0","2,396,000","243,000","0","0","0","243,000","31,300"," ",
="00660","元大歐洲50","0","0","0","0","0","1,757,750","1,000","0","0","0","1,000","3,913"," ",
="00661","元大日經225","0","0","0","0","0","6,981,250","717,000","0","0","0","717,000","92,944"," ",
="00662","富邦NASDAQ","14,000","4,000","0","0","18,000","130,007,250","10,418,000","156,000","0","0","10,574,000","1,594,086"," ",
="00663L","國泰臺灣加權正2","0","0","0","0","0","327,250","16,000","0","0","0","16,000","17,268"," ",
="00664R","國泰臺灣加權反1","629,000","10,000","56,000","0","583,000","147,018,750","23,842,000","0","0","0","23,842,000","4,222,542"," ",
="00665L","富邦恒生國企正2","3,471,000","713,000","97,000","0","4,087,000","217,866,250","75,867,000","0","0","0","75,867,000","11,279,500"," ",
="00666R","富邦恒生國企反1","0","0","0","0","0","2,281,000","8,000","0","0","0","8,000","40,267"," ",
="00668","國泰美國道瓊","0","0","0","0","0","3,758,250","116,000","0","0","0","116,000","67,089"," ",
="00669R","國泰美國道瓊反1","164,000","4,000","5,000","0","163,000","52,904,250","2,900,000","0","0","0","2,900,000","576,413"," ",
="00670L","富邦NASDAQ正2","1,128,000","17,000","16,000","0","1,129,000","15,411,250","982,000","0","0","0","982,000","413,164"," ",
="00671R","富邦NASDAQ反1","2,909,000","10,000","9,000","0","2,910,000","102,346,000","11,044,000","0","0","0","11,044,000","1,746,938"," ",
="00673R","期元大S&P原油反1","147,000","0","7,000","0","140,000","0","16,255,000","0","325,000","0","15,930,000","7,327,939","X ",
="00674R","期元大S&P黃金反1","3,000","0","0","0","3,000","12,150,750","344,000","0","0","0","344,000","141,525"," ",
="00675L","富邦臺灣加權正2","917,000","82,000","46,000","0","953,000","38,696,500","9,135,000","126,000","0","0","9,261,000","1,280,781"," ",
="00676R","富邦臺灣加權反1","132,000","14,000","100,000","0","46,000","129,752,750","1,954,000","0","0","0","1,954,000","2,446,475"," ",
="00678","群益那斯達克生技","0","0","0","0","0","1,862,000","193,000","0","0","0","193,000","141,135"," ",
="00680L","元大美債20正2","729,000","183,000","148,000","0","764,000","1,109,769,000","236,890,000","0","4,500,000","0","232,390,000","14,399,502"," ",
="00681R","元大美債20反1","0","0","0","0","0","3,273,500","72,000","0","0","0","72,000","128,486"," ",
="00682U","期元大美元指數","0","0","0","0","0","1,536,000","10,000","0","0","0","10,000","4,481"," ",
="00683L","期元大美元指正2","29,000","0","2,000","0","27,000","3,233,500","150,000","0","0","0","150,000","49,814","X ",
="00684R","期元大美元指反1","0","0","0","0","0","1,922,000","0","0","0","0","0","12,480"," ",
="00685L","群益臺灣加權正2","123,000","25,000","2,000","0","146,000","5,784,750","971,000","0","0","0","971,000","248,398"," ",
="00686R","群益臺灣加權反1","0","0","0","0","0","19,819,000","18,000","0","0","0","18,000","419,435"," ",
="00688L","國泰20年美債正2","2,558,000","0","202,000","0","2,356,000","504,903,750","103,399,000","0","2,083,000","0","101,316,000","7,339,821"," ",
="00689R","國泰20年美債反1","0","0","0","0","0","2,222,250","0","0","0","0","0","66,052"," ",
="00690","兆豐藍籌30","0","0","0","0","0","19,832,500","1,193,000","0","0","0","1,193,000","255,522"," ",
="00692","富邦公司治理","0","0","0","0","0","173,445,000","9,154,000","0","500,000","0","8,654,000","648,265"," ",
="00693U","期街口S&P黃豆","0","0","0","0","0","9,166,500","487,000","2,000","0","0","489,000","93,939"," ",
="00700","富邦恒生國企","0","0","0","0","0","14,495,750","967,000","0","0","0","967,000","101,367"," ",
="00701","國泰股利精選30","0","0","0","0","0","49,847,750","1,986,000","225,000","0","0","2,211,000","614,556"," ",
="00702","國泰標普低波高息","0","0","0","0","0","1,547,000","1,000","0","0","0","1,000","15,665"," ",
="00703","台新MSCI中國","0","0","0","0","0","3,637,500","32,000","0","0","0","32,000","49,381"," ",
="00706L","期元大S&P日圓正2","223,000","0","0","0","223,000","0","0","0","0","0","0","0","XV ",
="00707R","期元大S&P日圓反1","0","0","0","0","0","1,588,750","0","0","0","0","0","113","X ",
="00708L","期元大S&P黃金正2","168,000","11,000","0","0","179,000","11,018,250","1,558,000","79,000","0","0","1,637,000","277,014"," ",
="00709","富邦歐洲","0","0","0","0","0","2,115,000","66,000","0","0","0","66,000","13,603"," ",
="00710B","復華彭博非投等債","0","0","0","0","0","73,440,250","582,000","0","0","0","582,000","85,267"," ",
="00711B","復華彭博新興債","0","0","0","0","0","236,815,250","241,000","0","0","0","241,000","58,974"," ",
="00712","復華富時不動產","41,000","4,000","0","0","45,000","968,502,750","46,321,000","0","0","0","46,321,000","6,121,215"," ",
="00713","元大台灣高息低波","0","0","0","0","0","565,378,000","34,940,000","0","0","0","34,940,000","3,454,003"," ",
="00714","群益道瓊美國地產","0","0","0","0","0","7,266,750","397,000","0","0","0","397,000","92,943","X ",
="00715L","期街口布蘭特正2","18,020,000","0","3,709,000","586,000","13,725,000","83,846,000","9,650,000","0","540,000","0","9,110,000","9,703,125"," ",
="00717","富邦美國特別股","0","0","0","0","0","40,651,250","447,000","0","0","0","447,000","45,106","X ",
="00728","第一金工業30","0","0","0","0","0","12,105,750","334,000","0","0","0","334,000","77,339"," ",
="00730","富邦臺灣優質高息","0","0","0","0","0","21,761,000","1,401,000","0","0","0","1,401,000","121,521"," ",
="00731","復華富時高息低波","0","0","0","0","0","17,275,000","1,023,000","0","0","0","1,023,000","266,154"," ",
="00733","富邦臺灣中小","20,000","0","0","0","20,000","36,491,500","4,308,000","209,000","0","0","4,517,000","340,829"," ",
="00735","國泰臺韓科技","0","0","0","0","0","5,072,250","239,000","0","0","0","239,000","68,433"," ",
="00736","國泰新興市場","0","0","0","0","0","1,306,750","53,000","0","0","0","53,000","31,034"," ",
="00737","國泰AI機器人","0","0","0","0","0","5,009,500","446,000","0","41,000","0","405,000","30,936"," ",
="00738U","期元大道瓊白銀","5,000","7,000","2,000","0","10,000","15,074,750","705,000","0","0","0","705,000","250,683"," ",
="00739","元大MSCI A股","0","0","0","0","0","8,372,000","132,000","0","0","0","132,000","19,371"," ",
="00752","中信中國50","12,000","1,000","2,000","0","11,000","99,179,000","6,844,000","0","0","0","6,844,000","640,544"," ",
="00753L","中信中國50正2","5,491,000","134,000","175,000","0","5,450,000","302,664,250","36,959,000","0","0","0","36,959,000","8,840,230"," ",
="00757","統一FANG+","78,000","2,000","0","0","80,000","99,373,500","8,308,000","0","0","0","8,308,000","2,032,420"," ",
="00762","元大全球AI","0","0","0","0","0","12,437,000","493,000","0","0","0","493,000","98,543"," ",
="00763U","期街口道瓊銅","0","3,000","0","0","3,000","7,641,250","272,000","0","0","0","272,000","49,344"," ",
="00770","國泰北美科技","0","0","0","0","0","26,114,500","692,000","0","0","0","692,000","547,749"," ",
="00771","元大US高息特別股","0","0","0","0","0","4,431,250","50,000","0","0","0","50,000","6,805","X ",
="00775B","新光投等債15+","0","0","0","0","0","58,400,000","1,000","0","0","0","1,000","6,397","X ",
="00783","富邦中証500","0","0","0","0","0","3,757,750","366,000","0","0","0","366,000","57,309"," ",
="00830","國泰費城半導體","0","0","0","0","0","177,616,250","11,305,000","0","1,639,000","0","9,666,000","2,752,252"," ",
="00850","元大臺灣ESG永續","1,000","0","1,000","0","0","108,861,000","7,954,000","0","0","0","7,954,000","389,829"," ",
="00851","台新全球AI","0","0","0","0","0","1,631,250","58,000","0","0","0","58,000","8,382"," ",
="00852L","國泰美國道瓊正2","120,000","17,000","5,000","0","132,000","6,341,250","248,000","0","9,000","0","239,000","309,253"," ",
="00861","元大全球未來通訊","0","0","0","0","0","22,603,000","658,000","0","0","0","658,000","32,993"," ",
="00865B","國泰US短期公債","0","0","0","0","0","4,061,000","52,000","0","0","0","52,000","49,301"," ",
="00875","國泰網路資安","0","0","0","0","0","3,747,000","318,000","0","0","0","318,000","25,493"," ",
="00876","元大全球5G","0","0","0","0","0","26,006,000","963,000","0","0","0","963,000","44,975"," ",
="00878","國泰永續高股息","45,000","33,000","0","0","78,000","4,337,697,500","134,035,000","351,000","2,000,000","0","132,386,000","14,319,986"," ",
="00881","國泰台灣5G+","0","0","0","0","0","623,600,750","15,153,000","186,000","0","0","15,339,000","2,913,492"," ",
