"114年02月05日 信用額度總量管制餘額表"
"股票",,"融券",,,,,,"借券賣出",,,,,,"",
"代號","名稱","前日餘額","賣出","買進","現券","今日餘額","次一營業日限額","前日餘額","當日賣出","當日還券","當日調整","當日餘額","次一營業日可限額","備註",
="0050","元大台灣50","108,000","57,000","1,000","0","164,000","577,375,000","25,333,000","1,490,000","1,000,000","0","25,823,000","4,226,416"," ",
="0051","元大中型100","0","0","0","0","0","6,125,000","414,000","24,000","0","0","438,000","30,948"," ",
="0052","富邦科技","1,000","0","0","0","1,000","20,000,000","840,000","0","0","0","840,000","287,994"," ",
="0053","元大電子","0","0","0","0","0","1,372,000","51,000","0","0","0","51,000","5,342"," ",
="0055","元大MSCI金融","0","0","0","0","0","18,163,500","386,000","0","0","0","386,000","50,337"," ",
="0056","元大高股息","27,000","4,000","0","0","31,000","2,731,258,500","82,844,000","1,588,000","0","0","84,432,000","16,269,094"," ",
="0057","富邦摩台","0","0","0","0","0","381,750","0","0","0","0","0","7,449","X ",
="0061","元大寶滬深","0","0","0","0","0","38,154,000","1,110,000","0","0","0","1,110,000","142,078"," ",
="006203","元大MSCI台灣","0","0","0","0","0","2,554,500","8,000","0","0","0","8,000","3,085","X ",
="006204","永豐臺灣加權","0","0","0","0","0","375,000","0","0","0","0","0","3,212"," ",
="006205","富邦上証","0","0","0","0","0","39,359,750","1,602,000","0","0","0","1,602,000","190,358"," ",
="006206","元大上證50","2,000","0","1,000","0","1,000","11,444,500","894,000","0","0","0","894,000","43,107"," ",
="006207","復華滬深","0","0","0","0","0","8,223,000","838,000","0","0","0","838,000","43,908"," ",
="006208","富邦台50","7,000","0","1,000","0","6,000","436,760,000","56,736,000","3,000","0","0","56,739,000","4,280,521"," ",
="00631L","元大台灣50正2","2,110,000","236,000","17,000","0","2,329,000","33,896,000","6,600,000","13,000","0","0","6,613,000","1,680,021"," ",
="00632R","元大台灣50反1","5,401,000","11,000","72,000","0","5,340,000","283,426,932","27,985,000","0","0","0","27,985,000","6,464,125"," ",
="00633L","富邦上証正2","443,000","10,000","47,000","0","406,000","74,989,500","14,543,000","821,000","0","0","15,364,000","2,493,635"," ",
="00634R","富邦上証反1","61,000","0","0","0","61,000","11,689,000","43,000","0","0","0","43,000","90,639"," ",
="00635U","期元大S&P黃金","30,000","5,000","0","0","35,000","10,753,500","682,000","0","0","0","682,000","240,087"," ",
="00636","國泰中國A50","22,000","0","11,000","0","11,000","48,081,250","2,197,000","19,000","0","0","2,216,000","418,995"," ",
="00637L","元大滬深300正2","3,754,000","76,000","667,000","0","3,163,000","541,651,500","80,139,000","9,806,000","511,000","0","89,434,000","25,038,255"," ",
="00638R","元大滬深300反1","45,000","0","0","0","45,000","8,987,000","849,000","0","0","0","849,000","245,481"," ",
="00639","富邦深100","127,000","0","0","0","127,000","60,850,750","4,245,000","0","0","0","4,245,000","481,748"," ",
="00640L","富邦日本正2","188,000","10,000","20,000","0","178,000","4,104,750","646,000","0","0","0","646,000","130,655"," ",
="00641R","富邦日本反1","285,000","0","0","0","285,000","13,314,500","0","0","0","0","0","259,978"," ",
="00642U","期元大S&P石油","134,000","12,000","0","0","146,000","24,830,250","2,412,000","0","0","0","2,412,000","835,790"," ",
="00643","群益深証中小","125,000","0","0","0","125,000","28,518,250","3,817,000","0","0","0","3,817,000","1,514,987"," ",
="00645","富邦日本","1,000","0","0","0","1,000","19,874,250","936,000","1,000","0","0","937,000","163,554"," ",
="00646","元大S&P500","11,000","0","5,000","0","6,000","127,371,250","13,347,000","0","0","0","13,347,000","1,736,140"," ",
="00647L","元大S&P500正2","4,000","0","0","0","4,000","2,854,000","234,000","0","0","0","234,000","92,965"," ",
="00648R","元大S&P500反1","295,000","0","50,000","0","245,000","36,672,000","2,811,000","0","0","0","2,811,000","357,631"," ",
="00650L","復華香港正2","3,733,000","377,000","16,000","0","4,094,000","87,209,500","23,326,000","388,000","500,000","0","23,214,000","4,097,922"," ",
="00651R","復華香港反1","13,000","0","0","0","13,000","6,298,000","75,000","0","0","0","75,000","175,625"," ",
="00652","富邦印度","8,000","0","0","0","8,000","24,633,750","2,017,000","9,000","0","0","2,026,000","134,952"," ",
="00653L","富邦印度正2","30,000","1,000","12,000","0","19,000","5,100,750","431,000","0","0","0","431,000","107,641"," ",
="00654R","富邦印度反1","164,000","0","0","0","164,000","5,241,500","20,000","0","0","0","20,000","66,639"," ",
="00655L","國泰中國A50正2","282,000","1,000","57,000","0","226,000","39,489,500","8,362,000","202,000","0","0","8,564,000","1,675,418"," ",
="00656R","國泰中國A50反1","1,000","0","0","0","1,000","5,089,250","9,000","0","0","0","9,000","140,406"," ",
="00657","國泰日經225","0","0","0","0","0","2,396,000","243,000","0","0","0","243,000","26,843"," ",
