"114年04月09日 信用額度總量管制餘額表"
"股票",,"融券",,,,,,"借券賣出",,,,,,"",
"代號","名稱","前日餘額","賣出","買進","現券","今日餘額","次一營業日限額","前日餘額","當日賣出","當日還券","當日調整","當日餘額","次一營業日可限額","備註",
="0050","元大台灣50","156,000","347,000","23,000","0","480,000","715,000,000","23,430,000","1,513,000","0","0","24,943,000","731,771"," ",
="0051","元大中型100","0","0","0","0","0","6,500,000","369,000","2,000","0","0","371,000","3,141"," ",
="0052","富邦科技","2,000","0","0","0","2,000","20,875,000","1,225,000","11,000","0","0","1,236,000","23,906"," ",
="0053","元大電子","0","0","0","0","0","1,372,000","51,000","0","0","0","51,000","446"," ",
="0055","元大MSCI金融","0","0","0","0","0","18,913,500","333,000","4,000","0","0","337,000","5,317"," ",
="0056","元大高股息","1,070,000","80,000","70,000","0","1,080,000","3,122,258,500","133,530,000","1,920,000","0","0","135,450,000","2,327,333"," ",
="0057","富邦摩台","0","0","0","0","0","381,750","0","0","0","0","0","638","X ",
="0061","元大寶滬深","12,000","2,000","0","0","14,000","37,154,000","992,000","0","3,000","0","989,000","19,691"," ",
="006203","元大MSCI台灣","0","0","0","0","0","2,679,500","8,000","0","0","0","8,000","289","X ",
="006204","永豐臺灣加權","0","0","0","0","0","375,000","0","0","0","0","0","470"," ",
="006205","富邦上証","63,000","0","20,000","0","43,000","34,859,750","1,604,000","19,000","320,000","0","1,303,000","20,412"," ",
="006206","元大上證50","3,000","0","0","0","3,000","10,819,500","749,000","0","0","0","749,000","8,961"," ",
="006207","復華滬深","0","0","0","0","0","7,973,000","738,000","0","0","0","738,000","7,302"," ",
="006208","富邦台50","382,000","10,000","2,000","350,000","40,000","509,760,000","46,715,000","5,167,000","0","0","51,882,000","477,268"," ",
="00631L","元大台灣50正2","1,542,000","251,000","438,000","0","1,355,000","51,646,000","7,212,000","48,000","0","0","7,260,000","272,614"," ",
="00632R","元大台灣50反1","10,897,000","1,653,000","376,000","0","12,174,000","258,801,932","29,652,000","110,000","6,777,000","0","22,985,000","1,273,470"," ",
="00633L","富邦上証正2","856,000","496,000","89,000","0","1,263,000","68,239,500","14,063,000","2,000","396,000","0","13,669,000","284,833"," ",
="00634R","富邦上証反1","60,000","0","0","0","60,000","11,689,000","43,000","0","0","0","43,000","23,243"," ",
="00635U","期元大S&P黃金","76,000","2,000","0","0","78,000","16,753,500","553,000","0","0","0","553,000","63,403"," ",
="00636","國泰中國A50","387,000","0","35,000","30,000","322,000","47,206,250","3,271,000","45,000","57,000","0","3,259,000","74,395"," ",
="00637L","元大滬深300正2","3,977,000","1,595,000","1,208,000","0","4,364,000","485,276,500","89,531,000","0","3,808,000","0","85,723,000","2,567,579"," ",
="00638R","元大滬深300反1","16,000","0","0","0","16,000","13,237,000","866,000","0","0","0","866,000","38,174"," ",
