"114年03月19日 信用額度總量管制餘額表"
"股票",,"融券",,,,,,"借券賣出",,,,,,"",
"代號","名稱","前日餘額","賣出","買進","現券","今日餘額","次一營業日限額","前日餘額","當日賣出","當日還券","當日調整","當日餘額","次一營業日可限額","備註",
="0050","元大台灣50","0","0","0","0","0","670,125,000","27,891,000","341,000","939,000","0","27,293,000","5,431,069","X ",
="0051","元大中型100","0","0","0","0","0","6,375,000","366,000","1,000","0","0","367,000","34,621"," ",
="0052","富邦科技","4,000","0","0","0","4,000","20,625,000","1,175,000","0","63,000","0","1,112,000","224,795"," ",
="0053","元大電子","0","0","0","0","0","1,372,000","51,000","0","0","0","51,000","4,518"," ",
="0055","元大MSCI金融","0","0","0","0","0","18,913,500","390,000","0","0","0","390,000","37,550"," ",
="0056","元大高股息","46,000","6,000","0","0","52,000","2,822,508,500","93,115,000","1,110,000","0","0","94,225,000","9,168,311"," ",
="0057","富邦摩台","0","0","0","0","0","381,750","0","0","0","0","0","6,446","X ",
="0061","元大寶滬深","11,000","0","0","0","11,000","37,904,000","993,000","0","0","0","993,000","167,388"," ",
="006203","元大MSCI台灣","0","0","0","0","0","2,554,500","8,000","0","0","0","8,000","3,148","X ",
="006204","永豐臺灣加權","0","0","0","0","0","375,000","0","0","0","0","0","2,326"," ",
="006205","富邦上証","0","0","0","0","0","35,234,750","1,601,000","3,000","0","0","1,604,000","191,865"," ",
="006206","元大上證50","1,000","0","0","0","1,000","11,069,500","895,000","0","0","0","895,000","67,153"," ",
="006207","復華滬深","0","0","0","0","0","8,098,000","730,000","0","0","0","730,000","62,303"," ",
="006208","富邦台50","16,000","8,000","1,000","0","23,000","489,385,000","53,599,000","43,000","0","0","53,642,000","3,711,170"," ",
="00631L","元大台灣50正2","2,284,000","106,000","149,000","0","2,241,000","37,146,000","6,782,000","0","0","0","6,782,000","1,525,695"," ",
="00632R","元大台灣50反1","6,147,000","152,000","23,000","0","6,276,000","275,801,932","33,648,000","0","165,000","0","33,483,000","6,872,530"," ",
="00633L","富邦上証正2","1,363,000","32,000","6,000","0","1,389,000","71,364,500","17,007,000","0","300,000","0","16,707,000","2,388,315"," ",
="00634R","富邦上証反1","67,000","0","11,000","0","56,000","11,689,000","43,000","0","0","0","43,000","109,410"," ",
="00635U","期元大S&P黃金","74,000","1,000","0","0","75,000","12,253,500","951,000","25,000","0","0","976,000","385,066"," ",
="00636","國泰中國A50","21,000","0","0","0","21,000","49,456,250","3,893,000","0","0","0","3,893,000","638,599"," ",
="00637L","元大滬深300正2","9,781,000","1,486,000","116,000","0","11,151,000","521,151,500","97,397,000","0","0","0","97,397,000","24,547,560"," ",
="00638R","元大滬深300反1","17,000","0","0","0","17,000","9,112,000","849,000","0","0","0","849,000","205,419"," ",
="00639","富邦深100","15,000","0","0","0","15,000","52,475,750","3,915,000","0","0","0","3,915,000","628,548"," ",
="00640L","富邦日本正2","122,000","3,000","2,000","0","123,000","3,854,750","622,000","0","0","0","622,000","161,842"," ",
="00641R","富邦日本反1","197,000","0","0","0","197,000","13,939,500","210,000","90,000","0","0","300,000","398,068"," ",
="00642U","期元大S&P石油","38,000","1,000","0","0","39,000","36,830,250","2,516,000","0","0","0","2,516,000","1,055,854"," ",
="00643","群益深証中小","0","0","0","0","0","31,768,250","6,131,000","0","0","0","6,131,000","1,223,246"," ",
="00645","富邦日本","1,000","0","0","0","1,000","17,749,250","1,137,000","0","0","0","1,137,000","170,366"," ",
="00646","元大S&P500","3,000","0","0","0","3,000","139,996,250","14,073,000","333,000","0","0","14,406,000","1,654,606"," ",
="00647L","元大S&P500正2","15,000","6,000","2,000","0","19,000","3,229,000","441,000","10,000","0","0","451,000","93,409"," ",
="00648R","元大S&P500反1","388,000","0","0","0","388,000","35,547,000","1,869,000","0","0","0","1,869,000","506,697"," ",
="00650L","復華香港正2","7,431,000","422,000","435,000","0","7,418,000","59,584,500","17,792,000","85,000","0","0","17,877,000","5,956,800"," ",
="00651R","復華香港反1","4,000","0","1,000","0","3,000","13,423,000","1,500,000","27,000","0","0","1,527,000","1,037,220"," ",
="00652","富邦印度","6,000","0","2,000","0","4,000","25,383,750","2,284,000","0","0","0","2,284,000","157,503"," ",
="00653L","富邦印度正2","29,000","4,000","0","0","33,000","5,850,750","692,000","3,000","0","0","695,000","145,038"," ",
="00654R","富邦印度反1","169,000","0","0","0","169,000","5,241,500","19,000","0","0","0","19,000","72,179"," ",
="00655L","國泰中國A50正2","533,000","19,000","4,000","0","548,000","39,739,500","9,168,000","0","0","0","9,168,000","1,567,353"," ",
="00656R","國泰中國A50反1","1,000","0","0","0","1,000","5,464,250","9,000","0","0","0","9,000","72,680"," ",
="00657","國泰日經225","0","0","0","0","0","2,771,000","180,000","0","0","0","180,000","101,486"," ",
="00660","元大歐洲50","0","0","0","0","0","1,757,750","1,000","0","0","0","1,000","13,393"," ",
="00661","元大日經225","0","0","0","0","0","8,981,250","717,000","0","0","0","717,000","52,708"," ",
="00662","富邦NASDAQ","3,000","0","0","0","3,000","156,382,250","15,714,000","0","0","0","15,714,000","1,663,433"," ",
="00663L","國泰臺灣加權正2","0","0","0","0","0","327,250","16,000","0","0","0","16,000","15,096"," ",
="00664R","國泰臺灣加權反1","921,000","1,000","1,000","0","921,000","139,393,750","18,502,000","0","0","0","18,502,000","4,446,960"," ",
="00665L","富邦恒生國企正2","15,676,000","730,000","567,000","0","15,839,000","154,991,250","58,716,000","0","114,000","0","58,602,000","3,394,500"," ",
="00666R","富邦恒生國企反1","2,000","0","0","0","2,000","4,156,000","216,000","0","0","0","216,000","452,648"," ",
="00668","國泰美國道瓊","0","0","0","0","0","3,758,250","150,000","0","0","0","150,000","57,288"," ",
="00669R","國泰美國道瓊反1","564,000","0","0","0","564,000","49,904,250","1,199,000","0","0","0","1,199,000","899,962"," ",
="00670L","富邦NASDAQ正2","973,000","149,000","25,000","0","1,097,000","23,286,250","1,402,000","0","0","0","1,402,000","691,188"," ",
="00671R","富邦NASDAQ反1","2,656,000","39,000","49,000","0","2,646,000","97,971,000","9,896,000","0","0","0","9,896,000","2,500,245"," ",
="00673R","期元大S&P原油反1","103,000","0","0","0","103,000","0","1,238,000","0","0","0","1,238,000","5,677,256","X ",
="00674R","期元大S&P黃金反1","3,000","0","0","0","3,000","13,775,750","723,000","0","0","0","723,000","470,118"," ",
="00675L","富邦臺灣加權正2","884,000","93,000","61,000","0","916,000","43,196,500","9,567,000","0","270,000","0","9,297,000","1,452,079"," ",
="00676R","富邦臺灣加權反1","25,000","0","0","0","25,000","20,958,420","770,000","0","0","0","770,000","1,329,211"," ",
="00678","群益那斯達克生技","0","0","0","0","0","2,237,000","212,000","0","0","0","212,000","143,039"," ",
