"114年04月18日 信用額度總量管制餘額表"
"股票",,"融券",,,,,,"借券賣出",,,,,,"",
"代號","名稱","前日餘額","賣出","買進","現券","今日餘額","次一營業日限額","前日餘額","當日賣出","當日還券","當日調整","當日餘額","次一營業日可限額","備註",
="0050","元大台灣50","454,000","24,000","25,000","1,000","452,000","731,000,000","20,723,000","365,000","54,000","0","21,034,000","714,796"," ",
="0051","元大中型100","0","0","0","0","0","6,500,000","434,000","43,000","0","0","477,000","3,472"," ",
="0052","富邦科技","0","0","0","0","0","20,875,000","1,176,000","0","20,000","0","1,156,000","25,280","X ",
="0053","元大電子","0","0","0","0","0","1,372,000","51,000","0","0","0","51,000","509"," ",
="0055","元大MSCI金融","0","0","0","0","0","18,788,500","345,000","0","0","0","345,000","6,896"," ",
="0056","元大高股息","3,000","0","0","3,000","0","3,197,883,500","121,618,000","0","169,000","0","121,449,000","2,693,393","X ",
="0057","富邦摩台","0","0","0","0","0","381,750","0","0","0","0","0","641","X ",
="0061","元大寶滬深","15,000","0","0","0","15,000","36,779,000","989,000","0","0","0","989,000","18,986"," ",
="006203","元大MSCI台灣","0","0","0","0","0","2,554,500","8,000","0","0","0","8,000","288","X ",
="006204","永豐臺灣加權","0","0","0","0","0","375,000","0","0","0","0","0","562"," ",
="006205","富邦上証","3,000","0","0","0","3,000","34,234,750","1,304,000","0","0","0","1,304,000","22,840"," ",
="006206","元大上證50","1,000","0","0","0","1,000","10,694,500","729,000","0","0","0","729,000","8,434"," ",
="006207","復華滬深","0","0","0","0","0","7,848,000","645,000","0","0","0","645,000","8,125"," ",
="006208","富邦台50","10,000","1,000","0","0","11,000","520,385,000","51,900,000","102,000","42,000","0","51,960,000","419,975"," ",
="00631L","元大台灣50正2","1,598,000","249,000","94,000","1,000","1,752,000","64,271,000","7,307,000","50,000","0","0","7,357,000","329,148"," ",
="00632R","元大台灣50反1","9,818,000","17,000","364,000","0","9,471,000","375,676,932","14,422,000","900,000","335,000","0","14,987,000","1,620,820"," ",
="00633L","富邦上証正2","1,540,000","9,000","7,000","0","1,542,000","65,614,500","11,936,000","0","200,000","0","11,736,000","308,975"," ",
="00634R","富邦上証反1","56,000","0","0","0","56,000","11,689,000","43,000","0","0","0","43,000","27,048"," ",
="00635U","期元大S&P黃金","84,000","4,000","0","0","88,000","22,003,500","583,000","0","0","0","583,000","102,867"," ",
="00636","國泰中國A50","4,000","0","0","0","4,000","45,956,250","3,274,000","0","25,000","0","3,249,000","78,055"," ",
="00637L","元大滬深300正2","5,746,000","220,000","74,000","0","5,892,000","467,151,500","75,900,000","0","200,000","0","75,700,000","2,456,954"," ",
="00638R","元大滬深300反1","15,000","0","0","0","15,000","13,237,000","756,000","0","0","0","756,000","41,573"," ",
="00639","富邦深100","2,000","0","0","0","2,000","48,600,750","3,412,000","0","0","0","3,412,000","70,128"," ",
="00640L","富邦日本正2","66,000","20,000","0","0","86,000","4,729,750","678,000","0","0","0","678,000","37,307"," ",
="00641R","富邦日本反1","193,000","0","0","0","193,000","10,939,500","433,000","0","0","0","433,000","86,897"," ",
="00642U","期元大S&P石油","36,000","3,000","0","0","39,000","36,455,250","2,595,000","0","0","0","2,595,000","168,834"," ",
="00643","群益深証中小","11,000","0","0","0","11,000","30,143,250","4,257,000","0","0","0","4,257,000","104,961"," ",
="00645","富邦日本","0","0","0","0","0","16,374,250","1,413,000","0","0","0","1,413,000","19,833"," ",
="00646","元大S&P500","7,000","0","1,000","0","6,000","141,496,250","14,213,000","0","0","0","14,213,000","122,555"," ",
="00647L","元大S&P500正2","6,000","0","1,000","0","5,000","3,729,000","242,000","0","0","0","242,000","17,289"," ",
="00648R","元大S&P500反1","320,000","3,000","0","0","323,000","35,797,000","1,259,000","0","0","0","1,259,000","115,436"," ",
="00650L","復華香港正2","4,305,000","34,000","32,000","0","4,307,000","59,834,500","15,404,000","3,000","0","0","15,407,000","767,596"," ",
="00651R","復華香港反1","14,000","0","0","0","14,000","10,798,000","574,000","0","246,000","0","328,000","103,771"," ",
="00652","富邦印度","0","0","0","0","0","25,883,750","2,311,000","0","0","0","2,311,000","15,177"," ",
="00653L","富邦印度正2","30,000","0","1,000","0","29,000","5,225,750","524,000","0","0","0","524,000","14,485"," ",
="00654R","富邦印度反1","166,000","0","5,000","0","161,000","5,241,500","46,000","0","0","0","46,000","14,658"," ",
="00655L","國泰中國A50正2","289,000","2,000","4,000","0","287,000","35,614,500","9,082,000","0","400,000","0","8,682,000","158,516"," ",
="00656R","國泰中國A50反1","1,000","0","0","0","1,000","5,464,250","9,000","0","0","0","9,000","13,285"," ",
="00657","國泰日經225","0","0","0","0","0","2,271,000","198,000","0","0","0","198,000","6,669"," ",
="00660","元大歐洲50","0","0","0","0","0","1,882,750","1,000","0","0","0","1,000","2,891"," ",
="00661","元大日經225","0","0","0","0","0","8,356,250","717,000","0","0","0","717,000","6,802"," ",
