"114年01月10日 信用額度總量管制餘額表"
"股票",,"融券",,,,,,"借券賣出",,,,,,"",
"代號","名稱","前日餘額","賣出","買進","現券","今日餘額","次一營業日限額","前日餘額","當日賣出","當日還券","當日調整","當日餘額","次一營業日可限額","備註",
="0050","元大台灣50","126,000","1,000","44,000","1,000","82,000","554,125,000","21,040,000","3,000","0","0","21,043,000","2,828,254","X ",
="0051","元大中型100","0","0","0","0","0","6,000,000","383,000","0","0","0","383,000","30,983"," ",
="0052","富邦科技","1,000","1,000","0","0","2,000","19,500,000","910,000","0","0","0","910,000","232,424"," ",
="0053","元大電子","0","0","0","0","0","1,372,000","51,000","0","0","0","51,000","4,783"," ",
="0055","元大MSCI金融","0","0","0","0","0","18,163,500","376,000","0","0","0","376,000","49,123"," ",
="0056","元大高股息","26,000","5,000","9,000","0","22,000","2,570,508,500","119,248,000","6,605,000","0","0","125,853,000","11,272,233","X ",
="0057","富邦摩台","0","0","0","0","0","381,750","0","0","0","0","0","5,598","X ",
="0061","元大寶滬深","0","0","0","0","0","38,404,000","1,273,000","0","0","0","1,273,000","201,932"," ",
="006203","元大MSCI台灣","0","0","0","0","0","2,554,500","8,000","0","0","0","8,000","2,754","X ",
="006204","永豐臺灣加權","0","0","0","0","0","375,000","0","0","0","0","0","2,655"," ",
="006205","富邦上証","0","0","0","0","0","39,609,750","1,690,000","0","0","0","1,690,000","230,061"," ",
="006206","元大上證50","1,000","0","0","0","1,000","11,319,500","883,000","0","0","0","883,000","45,527"," ",
="006207","復華滬深","0","0","0","0","0","8,473,000","1,166,000","0","200,000","0","966,000","59,019"," ",
="006208","富邦台50","9,000","2,000","4,000","0","7,000","412,510,000","49,816,000","761,000","896,000","0","49,681,000","3,006,118"," ",
="00631L","元大台灣50正2","2,421,000","61,000","83,000","0","2,399,000","32,146,000","6,800,000","0","0","0","6,800,000","1,457,583"," ",
="00632R","元大台灣50反1","6,528,000","61,000","28,000","0","6,561,000","279,301,932","29,061,000","0","0","0","29,061,000","16,052,305"," ",
="00633L","富邦上証正2","875,000","6,000","7,000","0","874,000","74,114,500","15,349,000","0","400,000","0","14,949,000","2,780,467"," ",
