"114年02月13日 信用額度總量管制餘額表"
"股票",,"融券",,,,,,"借券賣出",,,,,,"",
"代號","名稱","前日餘額","賣出","買進","現券","今日餘額","次一營業日限額","前日餘額","當日賣出","當日還券","當日調整","當日餘額","次一營業日可限額","備註",
="0050","元大台灣50","185,000","1,000","21,000","0","165,000","584,750,000","26,254,000","1,284,000","120,000","0","27,418,000","4,243,201"," ",
="0051","元大中型100","0","0","0","0","0","6,250,000","497,000","0","114,000","0","383,000","32,954"," ",
="0052","富邦科技","1,000","0","0","0","1,000","20,000,000","875,000","0","0","0","875,000","282,568"," ",
="0053","元大電子","0","0","0","0","0","1,372,000","51,000","0","0","0","51,000","4,890"," ",
="0055","元大MSCI金融","0","0","0","0","0","19,913,500","388,000","0","0","0","388,000","46,699"," ",
="0056","元大高股息","58,000","5,000","1,000","0","62,000","2,734,508,500","91,310,000","20,000","338,000","0","90,992,000","15,456,210"," ",
="0057","富邦摩台","0","0","0","0","0","381,750","0","0","0","0","0","7,002"," ",
="0061","元大寶滬深","0","0","0","0","0","38,029,000","1,065,000","0","0","0","1,065,000","153,029"," ",
="006203","元大MSCI台灣","0","0","0","0","0","2,554,500","8,000","0","0","0","8,000","3,033","X ",
="006204","永豐臺灣加權","0","0","0","0","0","375,000","0","0","0","0","0","3,231"," ",
="006205","富邦上証","0","0","0","0","0","36,234,750","1,601,000","0","0","0","1,601,000","193,439"," ",
="006206","元大上證50","1,000","0","0","0","1,000","11,319,500","894,000","0","0","0","894,000","44,440"," ",
="006207","復華滬深","0","0","0","0","0","8,223,000","835,000","13,000","0","0","848,000","50,819"," ",
="006208","富邦台50","7,000","0","0","0","7,000","443,635,000","53,780,000","112,000","0","0","53,892,000","4,106,610"," ",
="00631L","元大台灣50正2","2,479,000","57,000","30,000","0","2,506,000","31,021,000","6,488,000","0","0","0","6,488,000","1,536,333"," ",
="00632R","元大台灣50反1","5,321,000","23,000","66,000","0","5,278,000","288,926,932","30,438,000","662,000","0","0","31,100,000","5,893,736"," ",
="00633L","富邦上証正2","575,000","69,000","1,000","0","643,000","72,864,500","15,493,000","0","0","0","15,493,000","2,554,949"," ",
="00634R","富邦上証反1","61,000","0","0","0","61,000","11,689,000","43,000","0","0","0","43,000","93,664"," ",
="00635U","期元大S&P黃金","55,000","1,000","1,000","0","55,000","10,753,500","554,000","258,000","0","0","812,000","267,133"," ",
="00636","國泰中國A50","21,000","0","0","0","21,000","47,456,250","2,217,000","0","0","0","2,217,000","413,303"," ",
="00637L","元大滬深300正2","4,940,000","1,904,000","51,000","0","6,793,000","529,651,500","91,272,000","0","0","0","91,272,000","25,561,529"," ",
="00638R","元大滬深300反1","45,000","0","0","0","45,000","8,987,000","849,000","0","0","0","849,000","246,104"," ",
="00639","富邦深100","90,000","5,000","0","0","95,000","60,600,750","3,915,000","0","0","0","3,915,000","518,557"," ",
