"114年01月08日 信用額度總量管制餘額表"
"股票",,"融券",,,,,,"借券賣出",,,,,,"",
"代號","名稱","前日餘額","賣出","買進","現券","今日餘額","次一營業日限額","前日餘額","當日賣出","當日還券","當日調整","當日餘額","次一營業日可限額","備註",
="0050","元大台灣50","179,000","6,000","16,000","3,000","166,000","552,875,000","22,035,000","161,000","1,033,000","0","21,163,000","2,949,076"," ",
="0051","元大中型100","0","0","0","0","0","6,000,000","383,000","0","0","0","383,000","31,642"," ",
="0052","富邦科技","2,000","0","1,000","0","1,000","19,875,000","898,000","0","0","0","898,000","239,805"," ",
="0053","元大電子","0","0","0","0","0","1,372,000","51,000","0","0","0","51,000","4,925"," ",
="0055","元大MSCI金融","0","0","0","0","0","18,163,500","376,000","0","0","0","376,000","46,770"," ",
="0056","元大高股息","30,000","0","8,000","0","22,000","2,528,883,500","118,733,000","40,000","2,000,000","0","116,773,000","10,702,912"," ",
="0057","富邦摩台","0","0","0","0","0","381,750","0","0","0","0","0","5,568","X ",
="0061","元大寶滬深","0","0","0","0","0","38,529,000","1,273,000","0","0","0","1,273,000","208,181"," ",
="006203","元大MSCI台灣","0","0","0","0","0","2,554,500","8,000","0","0","0","8,000","2,752"," ",
="006204","永豐臺灣加權","0","0","0","0","0","375,000","0","0","0","0","0","2,300"," ",
="006205","富邦上証","0","0","0","0","0","39,609,750","1,650,000","0","0","0","1,650,000","236,451"," ",
="006206","元大上證50","1,000","0","0","0","1,000","11,319,500","883,000","0","0","0","883,000","46,700"," ",
="006207","復華滬深","0","0","0","0","0","8,473,000","1,166,000","0","0","0","1,166,000","61,374"," ",
="006208","富邦台50","20,000","2,000","3,000","0","19,000","412,260,000","51,173,000","0","1,656,000","0","49,517,000","3,120,767"," ",
="00631L","元大台灣50正2","2,718,000","29,000","152,000","0","2,595,000","31,146,000","6,874,000","0","74,000","0","6,800,000","1,515,314"," ",
="00632R","元大台灣50反1","6,393,000","30,000","3,000","0","6,420,000","286,801,932","28,577,000","377,000","0","0","28,954,000","18,190,740"," ",
="00633L","富邦上証正2","767,000","109,000","10,000","1,000","865,000","74,114,500","15,389,000","0","0","0","15,389,000","2,776,300"," ",
="00634R","富邦上証反1","53,000","8,000","0","0","61,000","12,064,000","43,000","0","0","0","43,000","96,446"," ",
="00635U","期元大S&P黃金","34,000","0","0","0","34,000","11,128,500","558,000","0","0","0","558,000","221,303"," ",
="00636","國泰中國A50","13,000","2,000","0","0","15,000","50,081,250","3,449,000","0","46,000","0","3,403,000","531,385"," ",
="00637L","元大滬深300正2","3,891,000","237,000","433,000","1,010,000","2,685,000","538,526,500","84,910,000","1,135,000","100,000","0","85,945,000","27,509,418"," ",
="00638R","元大滬深300反1","45,000","0","0","0","45,000","8,987,000","849,000","0","0","0","849,000","440,701"," ",
="00639","富邦深100","87,000","1,000","0","0","88,000","61,600,750","5,046,000","0","0","0","5,046,000","587,038"," ",
="00640L","富邦日本正2","206,000","10,000","3,000","0","213,000","4,479,750","666,000","0","0","0","666,000","111,387"," ",
="00641R","富邦日本反1","259,000","0","5,000","0","254,000","13,939,500","477,000","0","0","0","477,000","188,908"," ",
="00642U","期元大S&P石油","184,000","0","0","0","184,000","30,330,250","2,764,000","0","0","0","2,764,000","966,561"," ",
="00643","群益深証中小","125,000","0","0","0","125,000","29,018,250","3,775,000","0","0","0","3,775,000","1,912,149"," ",
="00645","富邦日本","1,000","0","0","0","1,000","20,374,250","1,057,000","0","0","0","1,057,000","146,440"," ",
="00646","元大S&P500","3,000","0","0","0","3,000","124,121,250","8,287,000","0","331,000","0","7,956,000","1,632,533"," ",
="00647L","元大S&P500正2","5,000","0","0","0","5,000","2,604,000","219,000","0","0","0","219,000","90,388"," ",
="00648R","元大S&P500反1","244,000","30,000","0","0","274,000","38,172,000","2,811,000","0","0","0","2,811,000","230,015"," ",
="00650L","復華香港正2","2,055,000","57,000","80,000","0","2,032,000","94,084,500","29,147,000","25,000","20,000","0","29,152,000","5,081,875"," ",
="00651R","復華香港反1","14,000","0","0","0","14,000","7,423,000","74,000","0","0","0","74,000","121,366"," ",
="00652","富邦印度","8,000","0","0","0","8,000","24,383,750","1,836,000","0","0","0","1,836,000","116,913"," ",
="00653L","富邦印度正2","40,000","1,000","2,000","0","39,000","4,975,750","346,000","0","0","0","346,000","105,665"," ",
="00654R","富邦印度反1","146,000","0","0","0","146,000","5,366,500","49,000","0","0","0","49,000","63,014"," ",
="00655L","國泰中國A50正2","293,000","3,000","21,000","2,000","273,000","39,239,500","8,299,000","0","0","0","8,299,000","1,799,839"," ",
="00656R","國泰中國A50反1","1,000","0","0","0","1,000","5,964,250","9,000","0","0","0","9,000","167,506"," ",
="00657","國泰日經225","0","0","0","0","0","2,396,000","243,000","0","0","0","243,000","28,291"," ",
="00660","元大歐洲50","0","0","0","0","0","1,757,750","1,000","0","0","0","1,000","4,102"," ",
="00661","元大日經225","0","0","0","0","0","8,731,250","717,000","0","0","0","717,000","90,115"," ",
="00662","富邦NASDAQ","8,000","0","0","0","8,000","128,882,250","13,960,000","0","0","0","13,960,000","1,750,704"," ",
="00663L","國泰臺灣加權正2","0","0","0","0","0","327,250","15,000","0","0","0","15,000","16,518"," ",
="00664R","國泰臺灣加權反1","473,000","54,000","0","0","527,000","155,893,750","23,619,000","112,000","0","0","23,731,000","4,883,782"," ",
="00665L","富邦恒生國企正2","3,672,000","36,000","89,000","0","3,619,000","220,741,250","74,904,000","160,000","0","0","75,064,000","13,232,500"," ",
="00666R","富邦恒生國企反1","0","0","0","0","0","2,281,000","8,000","0","0","0","8,000","34,327"," ",
="00668","國泰美國道瓊","0","0","0","0","0","3,758,250","116,000","0","0","0","116,000","81,111"," ",
="00669R","國泰美國道瓊反1","153,000","2,000","3,000","0","152,000","52,904,250","2,525,000","0","0","0","2,525,000","615,884"," ",
="00670L","富邦NASDAQ正2","1,096,000","8,000","5,000","0","1,099,000","14,661,250","1,374,000","2,000","444,000","0","932,000","380,142"," ",
="00671R","富邦NASDAQ反1","2,811,000","45,000","5,000","0","2,851,000","102,346,000","11,044,000","0","0","0","11,044,000","1,613,337"," ",
="00673R","期元大S&P原油反1","153,000","167,000","64,000","0","256,000","167,175,750","8,457,000","192,000","0","0","8,649,000","5,523,987"," ",
="00674R","期元大S&P黃金反1","3,000","0","0","0","3,000","12,275,750","344,000","0","0","0","344,000","164,596"," ",
="00675L","富邦臺灣加權正2","1,350,000","61,000","70,000","0","1,341,000","35,821,500","8,722,000","0","10,000","0","8,712,000","1,295,767"," ",
="00676R","富邦臺灣加權反1","204,000","0","2,000","0","202,000","137,502,750","1,242,000","511,000","0","0","1,753,000","2,415,536"," ",
="00678","群益那斯達克生技","0","0","0","0","0","1,862,000","193,000","0","0","0","193,000","143,225"," ",
="00680L","元大美債20正2","520,000","246,000","7,000","0","759,000","1,132,894,000","263,988,000","978,000","17,402,000","0","247,564,000","15,695,853"," ",
="00681R","元大美債20反1","0","0","0","0","0","2,898,500","73,000","0","0","0","73,000","166,613"," ",
="00682U","期元大美元指數","0","0","0","0","0","1,536,000","10,000","0","0","0","10,000","4,979"," ",
="00683L","期元大美元指正2","29,000","0","0","0","29,000","3,358,500","151,000","0","0","0","151,000","50,321","X ",
="00684R","期元大美元指反1","0","0","0","0","0","1,922,000","0","0","0","0","0","11,390"," ",
="00685L","群益臺灣加權正2","179,000","8,000","18,000","0","169,000","5,284,750","981,000","0","0","0","981,000","252,113"," ",
="00686R","群益臺灣加權反1","0","0","0","0","0","19,444,000","18,000","0","0","0","18,000","629,828"," ",
="00688L","國泰20年美債正2","1,654,000","2,272,000","10,000","0","3,916,000","516,153,750","110,269,000","0","1,150,000","0","109,119,000","7,272,124"," ",
="00689R","國泰20年美債反1","0","0","0","0","0","2,847,250","0","0","0","0","0","37,350"," ",
="00690","兆豐藍籌30","0","0","0","0","0","19,832,500","1,097,000","0","0","0","1,097,000","256,152"," ",
="00692","富邦公司治理","0","0","0","0","0","173,320,000","11,154,000","0","2,000,000","0","9,154,000","653,699"," ",
="00693U","期街口S&P黃豆","3,000","0","0","0","3,000","8,666,500","411,000","0","0","0","411,000","65,633"," ",
="00700","富邦恒生國企","0","0","0","0","0","14,495,750","967,000","0","0","0","967,000","111,635"," ",
="00701","國泰股利精選30","0","0","0","0","0","44,847,750","1,517,000","172,000","0","0","1,689,000","316,907"," ",
="00702","國泰標普低波高息","0","0","0","0","0","1,547,000","1,000","0","0","0","1,000","10,157","X ",
="00703","台新MSCI中國","0","0","0","0","0","3,637,500","32,000","0","0","0","32,000","53,127"," ",
="00706L","期元大S&P日圓正2","223,000","0","0","0","223,000","0","0","0","0","0","0","0","XV ",
="00707R","期元大S&P日圓反1","0","0","0","0","0","1,588,750","0","0","0","0","0","23","X ",
="00708L","期元大S&P黃金正2","148,000","0","0","0","148,000","11,643,250","1,319,000","0","0","0","1,319,000","273,534"," ",
="00709","富邦歐洲","0","0","0","0","0","2,115,000","66,000","0","0","0","66,000","12,955"," ",
="00710B","復華彭博非投等債","0","0","0","0","0","73,440,250","582,000","0","0","0","582,000","87,639"," ",
="00711B","復華彭博新興債","0","0","0","0","0","236,815,250","241,000","0","0","0","241,000","58,592"," ",
="00712","復華富時不動產","19,000","0","0","0","19,000","960,127,750","46,036,000","57,000","1,000,000","0","45,093,000","6,332,395"," ",
="00713","元大台灣高息低波","0","0","0","0","0","560,253,000","40,781,000","0","500,000","0","40,281,000","3,645,120"," ",
="00714","群益道瓊美國地產","0","0","0","0","0","7,266,750","397,000","0","0","0","397,000","92,154"," ",
