"114年03月31日 信用額度總量管制餘額表"
"股票",,"融券",,,,,,"借券賣出",,,,,,"",
"代號","名稱","前日餘額","賣出","買進","現券","今日餘額","次一營業日限額","前日餘額","當日賣出","當日還券","當日調整","當日餘額","次一營業日可限額","備註",
="0050","元大台灣50","63,000","76,000","28,000","0","111,000","676,875,000","17,748,000","3,156,000","0","0","20,904,000","5,635,014"," ",
="0051","元大中型100","0","0","0","0","0","6,500,000","367,000","0","0","0","367,000","27,949"," ",
="0052","富邦科技","5,000","0","0","0","5,000","20,750,000","1,135,000","11,000","0","0","1,146,000","223,474"," ",
="0053","元大電子","0","0","0","0","0","1,372,000","51,000","0","0","0","51,000","3,993"," ",
="0055","元大MSCI金融","0","0","0","0","0","18,913,500","331,000","0","0","0","331,000","37,990"," ",
="0056","元大高股息","37,000","66,000","23,000","0","80,000","2,943,633,500","109,021,000","3,020,000","0","0","112,041,000","13,373,950"," ",
="0057","富邦摩台","0","0","0","0","0","381,750","0","0","0","0","0","6,272","X ",
="0061","元大寶滬深","0","0","0","0","0","37,654,000","993,000","0","0","0","993,000","154,323"," ",
="006203","元大MSCI台灣","0","0","0","0","0","2,554,500","8,000","0","0","0","8,000","2,606","X ",
="006204","永豐臺灣加權","0","0","0","0","0","375,000","0","0","0","0","0","2,573"," ",
="006205","富邦上証","0","3,000","0","0","3,000","35,234,750","1,604,000","0","0","0","1,604,000","165,592"," ",
="006206","元大上證50","1,000","0","0","0","1,000","11,069,500","821,000","0","0","0","821,000","73,287"," ",
="006207","復華滬深","0","0","0","0","0","8,098,000","730,000","0","0","0","730,000","53,919"," ",
="006208","富邦台50","73,000","11,000","7,000","0","77,000","498,260,000","46,280,000","3,539,000","0","0","49,819,000","3,765,515"," ",
="00631L","元大台灣50正2","2,197,000","294,000","458,000","0","2,033,000","39,521,000","7,053,000","297,000","0","0","7,350,000","1,701,548"," ",
="00632R","元大台灣50反1","6,760,000","823,000","186,000","0","7,397,000","272,176,932","29,413,000","876,000","200,000","0","30,089,000","7,679,898"," ",
="00633L","富邦上証正2","760,000","24,000","22,000","0","762,000","71,864,500","15,007,000","0","0","0","15,007,000","2,501,497"," ",
="00634R","富邦上証反1","56,000","0","0","0","56,000","11,689,000","43,000","0","0","0","43,000","94,975"," ",
="00635U","期元大S&P黃金","79,000","2,000","0","0","81,000","14,503,500","553,000","0","0","0","553,000","429,467"," ",
="00636","國泰中國A50","21,000","1,000","0","0","22,000","49,456,250","3,235,000","0","0","0","3,235,000","619,897"," ",
="00637L","元大滬深300正2","6,311,000","424,000","662,000","0","6,073,000","518,026,500","95,381,000","0","0","0","95,381,000","23,422,228"," ",
="00638R","元大滬深300反1","17,000","0","0","0","17,000","9,237,000","829,000","0","0","0","829,000","224,511"," ",
="00639","富邦深100","15,000","0","0","0","15,000","51,975,750","3,915,000","0","0","0","3,915,000","557,015"," ",
="00640L","富邦日本正2","121,000","0","8,000","0","113,000","3,604,750","622,000","0","0","0","622,000","169,666"," ",
="00641R","富邦日本反1","178,000","0","0","0","178,000","14,939,500","300,000","0","0","0","300,000","460,174"," ",
="00642U","期元大S&P石油","64,000","1,000","3,000","0","62,000","33,205,250","2,516,000","0","0","0","2,516,000","1,203,615"," ",
="00643","群益深証中小","0","0","0","0","0","31,643,250","4,840,000","17,000","0","0","4,857,000","1,125,221"," ",
="00645","富邦日本","2,000","0","0","0","2,000","16,374,250","1,141,000","0","0","0","1,141,000","156,179"," ",
="00646","元大S&P500","3,000","0","0","0","3,000","139,246,250","14,301,000","0","0","0","14,301,000","1,444,677"," ",
="00647L","元大S&P500正2","26,000","3,000","6,000","0","23,000","3,229,000","451,000","0","0","0","451,000","102,364"," ",
="00648R","元大S&P500反1","381,000","2,000","20,000","0","363,000","35,547,000","1,870,000","0","0","0","1,870,000","534,519"," ",
="00650L","復華香港正2","5,952,000","160,000","396,000","0","5,716,000","59,834,500","18,076,000","0","0","0","18,076,000","5,857,800"," ",
="00651R","復華香港反1","6,000","4,000","0","0","10,000","13,298,000","1,335,000","0","169,000","0","1,166,000","1,074,927"," ",
="00652","富邦印度","0","0","0","0","0","25,383,750","2,297,000","0","0","0","2,297,000","155,417"," ",
="00653L","富邦印度正2","50,000","8,000","2,000","0","56,000","5,600,750","707,000","0","0","0","707,000","150,660"," ",
="00654R","富邦印度反1","170,000","1,000","0","0","171,000","5,241,500","22,000","0","0","0","22,000","85,087"," ",
="00655L","國泰中國A50正2","446,000","0","30,000","0","416,000","40,114,500","8,959,000","0","0","0","8,959,000","1,496,389"," ",
="00656R","國泰中國A50反1","1,000","0","0","0","1,000","5,464,250","9,000","0","0","0","9,000","53,979"," ",
="00657","國泰日經225","0","0","0","0","0","2,646,000","181,000","14,000","0","0","195,000","99,662"," ",
="00660","元大歐洲50","0","0","0","0","0","1,757,750","1,000","0","0","0","1,000","14,157"," ",
="00661","元大日經225","0","0","0","0","0","8,731,250","717,000","0","0","0","717,000","45,630"," ",
="00662","富邦NASDAQ","14,000","11,000","5,000","0","20,000","156,632,250","14,921,000","391,000","0","0","15,312,000","1,265,150"," ",
="00663L","國泰臺灣加權正2","0","0","0","0","0","452,250","16,000","0","0","0","16,000","16,306"," ",
="00664R","國泰臺灣加權反1","1,044,000","174,000","8,000","0","1,210,000","142,518,750","20,442,000","0","0","0","20,442,000","5,352,981"," ",
="00665L","富邦恒生國企正2","11,447,000","1,271,000","721,000","0","11,997,000","163,116,250","60,567,000","0","0","0","60,567,000","4,679,500"," ",
="00666R","富邦恒生國企反1","20,000","0","4,000","0","16,000","4,156,000","216,000","0","0","0","216,000","475,448"," ",
="00668","國泰美國道瓊","0","0","0","0","0","3,758,250","164,000","0","0","0","164,000","51,888"," ",
="00669R","國泰美國道瓊反1","167,000","2,000","0","0","169,000","49,904,250","1,204,000","0","0","0","1,204,000","913,075"," ",
="00670L","富邦NASDAQ正2","1,440,000","60,000","482,000","0","1,018,000","23,911,250","1,028,000","2,000","0","0","1,030,000","761,415"," ",
="00671R","富邦NASDAQ反1","2,599,000","125,000","100,000","0","2,624,000","99,971,000","10,666,000","418,000","0","0","11,084,000","2,903,419"," ",
="00673R","期元大S&P原油反1","103,000","0","0","0","103,000","0","1,078,000","0","6,000","0","1,072,000","4,880,178","X ",
="00674R","期元大S&P黃金反1","19,000","0","0","0","19,000","13,900,750","723,000","0","100,000","0","623,000","452,663"," ",
="00675L","富邦臺灣加權正2","990,000","122,000","260,000","0","852,000","46,696,500","10,175,000","176,000","0","0","10,351,000","1,591,025"," ",
="00676R","富邦臺灣加權反1","54,000","23,000","15,000","0","62,000","20,333,420","1,465,000","196,000","0","0","1,661,000","661,144"," ",
="00678","群益那斯達克生技","0","0","0","0","0","2,237,000","212,000","0","0","0","212,000","147,026"," ",
="00680L","元大美債20正2","934,000","51,000","181,000","0","804,000","982,269,000","187,121,000","0","0","0","187,121,000","12,163,492"," ",
="00681R","元大美債20反1","0","0","0","0","0","3,023,500","72,000","0","0","0","72,000","74,249"," ",
="00682U","期元大美元指數","0","0","0","0","0","1,411,000","10,000","0","0","0","10,000","5,329"," ",
="00683L","期元大美元指正2","14,000","0","0","0","14,000","3,108,500","150,000","0","0","0","150,000","34,477"," ",
="00684R","期元大美元指反1","0","0","0","0","0","1,922,000","0","0","0","0","0","19,299"," ",
="00685L","群益臺灣加權正2","173,000","14,000","40,000","0","147,000","7,909,750","1,162,000","82,000","0","0","1,244,000","456,496"," ",
="00686R","群益臺灣加權反1","1,000","86,000","0","0","87,000","21,819,000","935,000","200,000","0","0","1,135,000","1,033,875"," ",
="00688L","國泰20年美債正2","337,000","12,000","50,000","0","299,000","440,653,750","92,630,000","514,000","0","0","93,144,000","5,387,081"," ",
="00689R","國泰20年美債反1","0","0","0","0","0","2,222,250","0","0","0","0","0","28,876"," ",
="00690","兆豐藍籌30","0","0","0","0","0","23,082,500","1,138,000","92,000","0","0","1,230,000","351,582"," ",
="00692","富邦公司治理","0","0","0","0","0","178,070,000","10,805,000","504,000","0","0","11,309,000","669,561"," ",
="00693U","期街口S&P黃豆","0","0","0","0","0","9,666,500","480,000","0","0","0","480,000","109,722"," ",
="00700","富邦恒生國企","0","0","0","0","0","17,370,750","1,400,000","0","0","0","1,400,000","801,598"," ",
="00701","國泰股利精選30","0","0","0","0","0","50,347,750","1,516,000","0","2,000","0","1,514,000","332,080"," ",
="00702","國泰標普低波高息","0","0","0","0","0","1,547,000","1,000","0","0","0","1,000","29,593"," ",
="00703","台新MSCI中國","0","0","0","0","0","4,512,500","180,000","0","0","0","180,000","131,053"," ",
="00706L","期元大S&P日圓正2","0","0","0","0","0","0","0","0","0","0","0","0","XV ",
="00707R","期元大S&P日圓反1","0","0","0","0","0","1,588,750","0","0","0","0","0","379","X ",
="00708L","期元大S&P黃金正2","586,000","60,000","1,000","0","645,000","11,893,250","838,000","240,000","0","0","1,078,000","611,262"," ",
="00709","富邦歐洲","0","0","0","0","0","1,990,000","66,000","0","0","0","66,000","29,044"," ",
="00710B","復華彭博非投等債","0","0","0","0","0","52,065,250","614,000","0","0","0","614,000","509,047"," ",
="00711B","復華彭博新興債","0","0","0","0","0","251,815,250","241,000","0","0","0","241,000","45,752"," ",
="00712","復華富時不動產","24,000","29,000","11,000","0","42,000","827,877,750","28,088,000","0","0","0","28,088,000","6,077,646"," ",
="00713","元大台灣高息低波","3,000","0","0","0","3,000","648,128,000","21,013,000","2,295,000","0","0","23,308,000","4,774,678"," ",
="00714","群益道瓊美國地產","0","0","0","0","0","7,141,750","447,000","0","0","0","447,000","109,028"," ",
="00715L","期街口布蘭特正2","13,581,000","427,000","673,000","0","13,335,000","118,846,000","11,808,000","0","609,000","0","11,199,000","11,898,514"," ",
="00717","富邦美國特別股","0","0","0","0","0","39,901,250","309,000","0","0","0","309,000","29,504"," ",
="00728","第一金工業30","0","0","0","0","0","12,105,750","763,000","0","0","0","763,000","106,636"," ",
="00730","富邦臺灣優質高息","0","0","0","0","0","20,011,000","861,000","2,000","0","0","863,000","105,524"," ",
="00731","復華富時高息低波","0","0","0","0","0","15,275,000","930,000","0","0","0","930,000","273,719"," ",
="00733","富邦臺灣中小","32,000","1,000","16,000","0","17,000","43,491,500","5,765,000","384,000","0","0","6,149,000","608,007"," ",
="00735","國泰臺韓科技","0","0","0","0","0","4,572,250","243,000","0","0","0","243,000","58,406"," ",
="00736","國泰新興市場","0","0","0","0","0","1,431,750","56,000","0","0","0","56,000","36,960"," ",
="00737","國泰AI機器人","0","1,000","0","0","1,000","5,384,500","555,000","0","0","0","555,000","55,587"," ",
="00738U","期元大道瓊白銀","30,000","1,000","1,000","0","30,000","16,574,750","805,000","20,000","0","0","825,000","354,223"," ",
="00739","元大MSCI A股","0","0","0","0","0","8,372,000","217,000","0","0","0","217,000","30,402"," ",
="00752","中信中國50","39,000","7,000","0","0","46,000","82,679,000","6,824,000","0","0","0","6,824,000","2,733,179"," ",
="00753L","中信中國50正2","12,688,000","361,000","956,000","0","12,093,000","238,789,250","42,023,000","0","1,799,000","0","40,224,000","19,913,381"," ",
="00757","統一FANG+","143,000","73,000","21,000","0","195,000","132,998,500","12,503,000","0","0","0","12,503,000","2,457,483"," ",
="00762","元大全球AI","0","0","0","0","0","15,812,000","613,000","60,000","0","0","673,000","183,095"," ",
="00763U","期街口道瓊銅","24,000","6,000","0","0","30,000","7,266,250","262,000","0","57,000","0","205,000","111,984"," ",
="00770","國泰北美科技","2,000","0","0","0","2,000","34,739,500","1,982,000","0","0","0","1,982,000","571,318"," ",
="00771","元大US高息特別股","0","0","0","0","0","4,306,250","50,000","0","0","0","50,000","24,275"," ",
="00775B","新光投等債15+","0","0","0","0","0","58,150,000","0","0","0","0","0","6,071"," ",
="00783","富邦中証500","0","0","0","0","0","3,507,750","280,000","0","0","0","280,000","84,387"," ",
="00830","國泰費城半導體","633,000","107,000","14,000","0","726,000","250,116,250","17,927,000","701,000","0","0","18,628,000","3,846,852"," ",
="00850","元大臺灣ESG永續","2,000","0","0","0","2,000","115,236,000","7,750,000","36,000","0","0","7,786,000","470,085"," ",
="00851","台新全球AI","0","0","0","0","0","2,381,250","58,000","6,000","0","0","64,000","99,810"," ",
="00852L","國泰美國道瓊正2","140,000","86,000","12,000","0","214,000","5,091,250","561,000","0","0","0","561,000","251,984"," ",
="00861","元大全球未來通訊","0","0","0","0","0","24,103,000","628,000","0","0","0","628,000","31,952"," ",
="00865B","國泰US短期公債","0","0","0","0","0","4,061,000","136,000","0","0","0","136,000","47,907"," ",
="00875","國泰網路資安","0","0","0","0","0","4,122,000","488,000","0","0","0","488,000","52,549"," ",
="00876","元大全球5G","0","0","0","0","0","27,381,000","737,000","0","0","0","737,000","61,325"," ",
="00878","國泰永續高股息","114,000","113,000","21,000","0","206,000","4,893,072,500","164,661,000","25,628,000","0","0","190,289,000","28,882,538"," ",
="00881","國泰台灣5G+","34,000","2,000","3,000","0","33,000","640,600,750","23,492,000","1,845,000","0","0","25,337,000","2,653,372"," ",
="00882","中信中國高股息","84,000","0","0","0","84,000","724,212,250","30,964,000","0","0","0","30,964,000","7,421,749"," ",
="00885","富邦越南","412,000","1,000","3,000","0","410,000","361,934,500","15,213,000","0","0","0","15,213,000","2,591,480"," ",
="00891","中信關鍵半導體","2,000","1,000","1,000","0","2,000","282,772,500","11,563,000","1,830,000","472,000","0","12,921,000","2,055,168"," ",
="00892","富邦台灣半導體","0","0","0","0","0","84,198,000","4,383,000","29,000","0","0","4,412,000","449,156"," ",
="00893","國泰智能電動車","35,000","23,000","3,000","0","55,000","140,346,000","6,720,000","2,000","0","0","6,722,000","1,293,669"," ",
="00894","中信小資高價30","16,000","3,000","0","0","19,000","35,377,250","2,116,000","12,000","0","0","2,128,000","881,194"," ",
="00895","富邦未來車","29,000","7,000","4,000","0","32,000","66,854,000","4,762,000","0","0","0","4,762,000","479,356"," ",
="00896","中信綠能及電動車","0","0","0","0","0","58,345,000","3,357,000","74,000","0","0","3,431,000","414,096"," ",
="00897","富邦基因免疫生技","0","0","0","0","0","51,128,000","2,981,000","0","322,000","0","2,659,000","192,899"," ",
="00898","國泰基因免疫革命","0","0","0","0","0","53,744,000","767,000","0","0","0","767,000","157,198"," ",
="00899","FT潔淨能源","0","0","0","0","0","7,158,750","447,000","0","0","0","447,000","39,103"," ",
="00900","富邦特選高股息30","1,000","0","0","1,000","0","516,256,250","41,108,000","1,416,000","0","0","42,524,000","2,511,958"," ",
="00901","永豐智能車供應鏈","0","0","0","0","0","19,712,250","906,000","0","0","0","906,000","77,014"," ",
="00902","中信電池及儲能","10,000","4,000","0","0","14,000","125,374,250","6,807,000","0","0","0","6,807,000","529,388"," ",
="00903","富邦元宇宙","2,000","0","0","0","2,000","30,805,250","1,526,000","0","0","0","1,526,000","106,295"," ",
="00904","新光臺灣半導體30","0","0","0","0","0","24,403,000","1,033,000","0","0","0","1,033,000","239,179"," ",
="00905","FT臺灣Smart","26,000","0","0","0","26,000","135,956,750","9,613,000","20,000","0","0","9,633,000","1,254,265"," ",
="00907","永豐優息存股","0","0","0","0","0","75,533,250","3,746,000","0","0","0","3,746,000","657,693"," ",
="00908","富邦入息REITs+","0","0","0","0","0","10,104,000","1,592,000","0","0","0","1,592,000","153,829"," ",
="00909","國泰數位支付服務","104,000","17,000","7,000","0","114,000","58,676,000","6,110,000","196,000","0","0","6,306,000","2,304,823"," ",
="00910","第一金太空衛星","0","0","0","0","0","11,609,750","797,000","0","0","0","797,000","453,123"," ",
="00911","兆豐洲際半導體","1,000","0","1,000","0","0","7,350,750","524,000","0","0","0","524,000","119,422"," ",
="00912","中信臺灣智慧50","0","0","0","0","0","21,813,250","1,995,000","0","0","0","1,995,000","297,348"," ",
="00913","兆豐台灣晶圓製造","0","0","0","0","0","2,941,500","13,000","0","0","0","13,000","57,609"," ",
="00915","凱基優選高股息30","3,000","0","0","0","3,000","425,495,750","20,392,000","276,000","0","0","20,668,000","2,900,800"," ",
="00916","國泰全球品牌50","0","0","0","0","0","21,729,750","2,614,000","0","0","0","2,614,000","204,560"," ",
="00917","中信特選金融","0","0","0","0","0","9,744,500","913,000","0","0","0","913,000","240,256"," ",
="00918","大華優利高填息30","0","0","0","0","0","877,816,000","28,966,000","450,000","0","0","29,416,000","9,040,671"," ",
="00919","群益台灣精選高息","76,000","1,000","30,000","0","47,000","3,901,408,750","161,942,000","21,934,000","0","0","183,876,000","33,322,523"," ",
="00920","富邦ESG綠色電力","0","0","0","0","0","3,570,000","449,000","0","0","0","449,000","86,967"," ",
="00921","兆豐龍頭等權重","0","0","0","0","0","37,067,500","1,177,000","0","0","0","1,177,000","283,863"," ",
="00922","國泰台灣領袖50","29,000","0","26,000","0","3,000","303,671,500","22,555,000","3,179,000","0","0","25,734,000","4,674,389"," ",
="00923","群益台ESG低碳50","32,000","0","0","0","32,000","231,730,750","6,458,000","99,000","0","0","6,557,000","1,817,317"," ",
="00924","復華S&P500成長","2,000","0","1,000","0","1,000","124,150,750","10,193,000","1,298,000","1,000","0","11,490,000","2,683,076"," ",
="00925","新光標普電動車","0","0","0","0","0","1,437,750","10,000","0","0","0","10,000","63,262","X ",
="00926","凱基全球菁英55","1,000","0","0","0","1,000","33,495,500","5,411,000","264,000","0","0","5,675,000","531,427"," ",
="00927","群益半導體收益","5,000","1,000","0","0","6,000","190,849,250","4,176,000","49,000","0","0","4,225,000","1,346,815"," ",
="00929","復華台灣科技優息","40,000","20,000","40,000","0","20,000","2,547,784,750","69,257,000","42,000","0","0","69,299,000","17,310,975"," ",
="00930","永豐ESG低碳高息","1,000","0","0","0","1,000","106,694,750","4,459,000","0","0","0","4,459,000","774,840"," ",
="00932","兆豐永續高息等權","0","0","0","0","0","87,695,750","3,353,000","0","0","0","3,353,000","845,106"," ",
="00934","中信成長高股息","1,000","1,000","1,000","0","1,000","242,256,500","3,750,000","146,000","14,000","0","3,882,000","2,171,373"," ",
="00935","野村臺灣新科技50","12,000","0","0","0","12,000","104,751,000","6,554,000","744,000","0","0","7,298,000","1,172,137"," ",
="00936","台新永續高息中小","0","0","0","0","0","233,949,250","2,730,000","8,000","0","0","2,738,000","1,388,022"," ",
="00938","凱基優選30","0","0","0","0","0","55,629,000","2,722,000","2,000","0","0","2,724,000","584,256"," ",
="00939","統一台灣高息動能","0","0","0","0","0","689,244,000","1,458,000","94,000","0","0","1,552,000","2,845,835"," ",
="00940","元大台灣價值高息","90,000","39,000","9,000","0","120,000","3,637,216,250","25,686,000","2,439,000","0","0","28,125,000","16,515,593"," ",
="00941","中信上游半導體","31,000","0","0","0","31,000","279,822,750","12,393,000","0","0","0","12,393,000","1,156,777"," ",
="00943","兆豐電子高息等權","0","0","0","0","0","23,222,250","2,796,000","0","0","0","2,796,000","484,255"," ",
="00944","野村趨勢動能高息","0","0","0","0","0","38,895,250","2,641,000","0","0","0","2,641,000","472,490"," ",
="00945B","凱基美國非投等債","0","0","0","0","0","258,079,500","22,112,000","181,000","0","0","22,293,000","4,615,358"," ",
="00946","群益科技高息成長","0","0","0","0","0","299,061,500","10,248,000","0","0","0","10,248,000","2,716,789","X ",
="00947","台新臺灣IC設計","1,000","0","1,000","0","0","49,216,000","2,579,000","12,000","0","0","2,591,000","489,073"," ",
="00949","復華日本龍頭","6,000","0","0","0","6,000","75,857,000","10,276,000","0","0","0","10,276,000","819,115"," ",
="00951","台新日本半導體","10,000","1,000","0","0","11,000","89,635,500","12,335,000","1,564,000","0","0","13,899,000","1,392,562"," ",
="00952","凱基台灣AI50","0","0","0","0","0","85,068,750","3,973,000","0","0","0","3,973,000","1,176,086"," ",
="00953B","群益優選非投等債","0","0","0","0","0","913,418,750","53,244,000","515,000","0","0","53,759,000","21,543,275","X ",
="00954","中信日本半導體","0","0","0","0","0","24,936,750","3,112,000","2,000","0","0","3,114,000","651,393"," ",
="00956","中信日經高股息","0","0","0","0","0","8,157,500","773,000","0","0","0","773,000","232,374"," ",
="00960","野村全球航運龍頭","7,000","0","0","0","7,000","52,373,750","3,020,000","0","0","0","3,020,000","556,745"," ",
="00961","FT臺灣永續高息","0","0","0","0","0","14,252,750","835,000","0","0","0","835,000","197,747"," ",
="00962","台新AI優息動能","0","0","0","0","0","24,105,000","1,353,000","22,000","0","0","1,375,000","455,176"," ",
="00963","中信全球高股息","0","0","0","0","0","15,858,250","1,862,000","0","0","0","1,862,000","385,462"," ",
="00964","中信亞太高股息","0","0","0","0","0","5,406,000","172,000","0","0","0","172,000","355,426"," ",
="00965","元大航太防衛科技","9,000","0","1,000","0","8,000","180,998,000","5,383,000","0","0","0","5,383,000","4,613,306"," ",
="00971","野村美國研發龍頭","1,000","0","0","0","1,000","40,044,250","5,517,000","221,000","0","0","5,738,000","1,174,927"," ",
="00972","野村日本動能高息","0","0","0","0","0","5,793,000","228,000","32,000","0","0","260,000","232,627"," ",
="009800","中信NASDAQ","13,000","2,000","2,000","0","13,000","95,722,750","5,121,000","0","0","0","5,121,000","3,663,892"," ",
="009801","中信美國創新科技","0","0","0","0","0","69,529,750","7,243,000","1,074,000","0","0","8,317,000","2,922,306"," ",
="009802","富邦旗艦50","1,000","5,000","1,000","0","5,000","385,123,750","0","0","0","0","0","11,911,374"," ",
="009803","保德信市值動能50","0","0","0","0","0","49,457,000","211,000","0","0","0","211,000","3,367,455"," ",
"1101","台泥","109,000","114,000","2,000","0","221,000","1,887,795,435","132,312,342","2,670,000","0","0","134,982,342","7,107,816"," ",
"1102","亞泥","9,000","1,000","0","0","10,000","886,640,720","6,998,205","164,000","0","0","7,162,205","2,327,665"," ",
