"114年02月12日 信用額度總量管制餘額表"
"股票",,"融券",,,,,,"借券賣出",,,,,,"",
"代號","名稱","前日餘額","賣出","買進","現券","今日餘額","次一營業日限額","前日餘額","當日賣出","當日還券","當日調整","當日餘額","次一營業日可限額","備註",
="0050","元大台灣50","177,000","9,000","1,000","0","185,000","583,000,000","27,259,000","209,000","1,214,000","0","26,254,000","4,210,026"," ",
="0051","元大中型100","0","0","0","0","0","6,250,000","497,000","0","0","0","497,000","33,813"," ",
="0052","富邦科技","1,000","0","0","0","1,000","20,000,000","881,000","0","6,000","0","875,000","283,959"," ",
="0053","元大電子","0","0","0","0","0","1,372,000","51,000","0","0","0","51,000","5,842"," ",
="0055","元大MSCI金融","0","0","0","0","0","19,913,500","388,000","0","0","0","388,000","47,496"," ",
="0056","元大高股息","51,000","8,000","1,000","0","58,000","2,734,508,500","90,507,000","803,000","0","0","91,310,000","15,365,865"," ",
="0057","富邦摩台","0","0","0","0","0","381,750","0","0","0","0","0","7,001"," ",
="0061","元大寶滬深","0","0","0","0","0","38,029,000","1,110,000","0","45,000","0","1,065,000","150,649"," ",
="006203","元大MSCI台灣","0","0","0","0","0","2,554,500","8,000","0","0","0","8,000","3,310","X ",
="006204","永豐臺灣加權","0","0","0","0","0","375,000","0","0","0","0","0","3,285"," ",
="006205","富邦上証","0","0","0","0","0","37,234,750","1,602,000","0","1,000","0","1,601,000","194,384"," ",
="006206","元大上證50","1,000","0","0","0","1,000","11,319,500","894,000","0","0","0","894,000","43,892"," ",
="006207","復華滬深","0","0","0","0","0","8,223,000","835,000","0","0","0","835,000","48,876"," ",
="006208","富邦台50","7,000","0","0","0","7,000","440,260,000","55,702,000","1,000","1,923,000","0","53,780,000","4,088,190"," ",
="00631L","元大台灣50正2","2,455,000","33,000","9,000","0","2,479,000","31,021,000","6,503,000","0","15,000","0","6,488,000","1,579,449"," ",
="00632R","元大台灣50反1","5,294,000","75,000","48,000","0","5,321,000","288,926,932","30,258,000","200,000","20,000","0","30,438,000","6,149,000"," ",
="00633L","富邦上証正2","569,000","15,000","9,000","0","575,000","74,114,500","15,493,000","0","0","0","15,493,000","2,509,278"," ",
="00634R","富邦上証反1","61,000","0","0","0","61,000","11,689,000","43,000","0","0","0","43,000","91,094"," ",
="00635U","期元大S&P黃金","55,000","2,000","2,000","0","55,000","10,753,500","554,000","0","0","0","554,000","258,800"," ",
