"114年03月14日 信用額度總量管制餘額表"
"股票",,"融券",,,,,,"借券賣出",,,,,,"",
"代號","名稱","前日餘額","賣出","買進","現券","今日餘額","次一營業日限額","前日餘額","當日賣出","當日還券","當日調整","當日餘額","次一營業日可限額","備註",
="0050","元大台灣50","56,000","9,000","17,000","0","48,000","661,000,000","33,752,000","25,000","639,000","0","33,138,000","6,081,585"," ",
="0051","元大中型100","0","0","0","0","0","6,375,000","383,000","0","0","0","383,000","37,890"," ",
="0052","富邦科技","3,000","0","0","0","3,000","20,625,000","1,163,000","11,000","0","0","1,174,000","256,810"," ",
="0053","元大電子","0","0","0","0","0","1,372,000","51,000","0","0","0","51,000","5,070"," ",
="0055","元大MSCI金融","0","0","0","0","0","18,913,500","390,000","0","0","0","390,000","40,465"," ",
="0056","元大高股息","40,000","1,000","3,000","0","38,000","2,812,383,500","92,952,000","153,000","4,000","0","93,101,000","10,518,979"," ",
="0057","富邦摩台","0","0","0","0","0","381,750","0","0","0","0","0","6,380","X ",
="0061","元大寶滬深","0","5,000","0","0","5,000","37,904,000","993,000","0","0","0","993,000","164,928"," ",
="006203","元大MSCI台灣","0","0","0","0","0","2,554,500","8,000","0","0","0","8,000","3,297","X ",
="006204","永豐臺灣加權","0","0","0","0","0","375,000","0","0","0","0","0","2,471"," ",
="006205","富邦上証","0","0","0","0","0","35,234,750","1,601,000","0","0","0","1,601,000","186,958"," ",
="006206","元大上證50","1,000","0","0","0","1,000","11,069,500","895,000","0","0","0","895,000","69,608"," ",
="006207","復華滬深","0","0","0","0","0","8,098,000","730,000","0","0","0","730,000","57,051"," ",
="006208","富邦台50","15,000","3,000","2,000","0","16,000","485,510,000","52,908,000","0","9,000","0","52,899,000","4,465,101"," ",
="00631L","元大台灣50正2","2,264,000","156,000","156,000","1,000","2,263,000","38,521,000","6,767,000","0","18,000","0","6,749,000","1,714,821"," ",
="00632R","元大台灣50反1","6,285,000","32,000","27,000","0","6,290,000","285,801,932","33,400,000","0","750,000","0","32,650,000","7,222,280"," ",
="00633L","富邦上証正2","903,000","569,000","11,000","0","1,461,000","70,614,500","17,113,000","0","0","0","17,113,000","2,402,430"," ",
="00634R","富邦上証反1","57,000","0","0","0","57,000","11,689,000","43,000","0","0","0","43,000","132,147"," ",
="00635U","期元大S&P黃金","73,000","2,000","0","0","75,000","11,753,500","1,051,000","0","0","0","1,051,000","380,320"," ",
="00636","國泰中國A50","21,000","2,000","0","0","23,000","46,706,250","2,209,000","0","0","0","2,209,000","497,551"," ",
="00637L","元大滬深300正2","5,369,000","4,659,000","376,000","0","9,652,000","513,776,500","99,431,000","0","86,000","0","99,345,000","24,754,980"," ",
="00638R","元大滬深300反1","17,000","0","0","0","17,000","9,112,000","849,000","0","0","0","849,000","217,889"," ",
="00639","富邦深100","96,000","0","0","0","96,000","52,475,750","3,915,000","0","0","0","3,915,000","634,279"," ",
="00640L","富邦日本正2","116,000","0","8,000","0","108,000","3,979,750","622,000","0","0","0","622,000","159,515"," ",
="00641R","富邦日本反1","202,000","0","0","0","202,000","12,939,500","0","0","0","0","0","419,183"," ",
="00642U","期元大S&P石油","42,000","2,000","1,000","0","43,000","36,580,250","2,516,000","0","0","0","2,516,000","1,087,334"," ",
="00643","群益深証中小","0","0","0","0","0","31,768,250","6,071,000","30,000","0","0","6,101,000","1,230,411"," ",
="00645","富邦日本","1,000","0","0","0","1,000","18,749,250","1,127,000","0","0","0","1,127,000","166,599"," ",
="00646","元大S&P500","3,000","0","0","0","3,000","137,871,250","13,844,000","0","0","0","13,844,000","1,691,688"," ",
="00647L","元大S&P500正2","19,000","1,000","8,000","0","12,000","2,979,000","385,000","0","0","0","385,000","91,063"," ",
="00648R","元大S&P500反1","355,000","30,000","0","0","385,000","36,047,000","1,869,000","0","0","0","1,869,000","560,721"," ",
="00650L","復華香港正2","6,205,000","386,000","124,000","0","6,467,000","59,709,500","17,772,000","20,000","0","0","17,792,000","6,091,800"," ",
="00651R","復華香港反1","5,000","0","2,000","0","3,000","13,048,000","1,500,000","0","0","0","1,500,000","1,017,094"," ",
="00652","富邦印度","7,000","2,000","0","0","9,000","25,383,750","2,284,000","0","0","0","2,284,000","166,397"," ",
="00653L","富邦印度正2","25,000","3,000","1,000","0","27,000","5,850,750","691,000","0","0","0","691,000","144,918"," ",
="00654R","富邦印度反1","169,000","0","0","0","169,000","5,241,500","19,000","0","0","0","19,000","73,902"," ",
="00655L","國泰中國A50正2","424,000","143,000","9,000","0","558,000","38,989,500","9,051,000","0","0","0","9,051,000","1,622,372"," ",
="00656R","國泰中國A50反1","1,000","0","0","0","1,000","5,464,250","9,000","0","0","0","9,000","109,207"," ",
="00657","國泰日經225","0","0","0","0","0","2,771,000","180,000","0","0","0","180,000","100,554"," ",
="00660","元大歐洲50","0","0","0","0","0","1,757,750","1,000","0","0","0","1,000","13,306"," ",
="00661","元大日經225","0","0","0","0","0","9,231,250","717,000","0","0","0","717,000","61,310"," ",
="00662","富邦NASDAQ","4,000","0","1,000","0","3,000","156,007,250","16,164,000","250,000","0","0","16,414,000","1,708,148"," ",
="00663L","國泰臺灣加權正2","0","0","0","0","0","327,250","16,000","0","0","0","16,000","17,361","X ",
="00664R","國泰臺灣加權反1","928,000","4,000","0","0","932,000","139,393,750","20,928,000","3,000","2,330,000","0","18,601,000","4,668,806"," ",
="00665L","富邦恒生國企正2","12,127,000","2,789,000","2,163,000","0","12,753,000","155,866,250","59,332,000","0","444,000","0","58,888,000","3,458,500"," ",
="00666R","富邦恒生國企反1","6,000","4,000","5,000","0","5,000","4,156,000","226,000","0","10,000","0","216,000","450,168"," ",
="00668","國泰美國道瓊","0","0","0","0","0","3,758,250","150,000","0","0","0","150,000","67,715"," ",
="00669R","國泰美國道瓊反1","518,000","41,000","0","0","559,000","50,404,250","1,626,000","0","0","0","1,626,000","911,568"," ",
="00670L","富邦NASDAQ正2","896,000","13,000","65,000","0","844,000","23,036,250","1,402,000","0","0","0","1,402,000","702,600"," ",
="00671R","富邦NASDAQ反1","2,615,000","0","0","0","2,615,000","97,971,000","9,896,000","0","0","0","9,896,000","2,555,685"," ",
="00673R","期元大S&P原油反1","103,000","0","0","0","103,000","0","2,895,000","0","1,304,000","0","1,591,000","6,488,535","X ",
="00674R","期元大S&P黃金反1","5,000","0","0","0","5,000","13,650,750","723,000","0","0","0","723,000","455,821"," ",
="00675L","富邦臺灣加權正2","848,000","255,000","75,000","0","1,028,000","43,571,500","9,044,000","523,000","0","0","9,567,000","1,677,084"," ",
="00676R","富邦臺灣加權反1","25,000","2,000","2,000","0","25,000","20,958,420","467,000","303,000","0","0","770,000","1,530,219"," ",
="00678","群益那斯達克生技","0","0","0","0","0","2,237,000","212,000","0","0","0","212,000","145,755"," ",
="00680L","元大美債20正2","1,188,000","258,000","37,000","0","1,409,000","985,894,000","191,571,000","500,000","6,913,000","0","185,158,000","13,705,133"," ",
="00681R","元大美債20反1","0","0","0","0","0","3,023,500","72,000","0","0","0","72,000","76,473"," ",
="00682U","期元大美元指數","0","0","0","0","0","1,536,000","10,000","0","0","0","10,000","10,109"," ",
="00683L","期元大美元指正2","14,000","0","0","0","14,000","3,233,500","150,000","0","0","0","150,000","31,105"," ",
="00684R","期元大美元指反1","0","0","0","0","0","1,922,000","0","0","0","0","0","20,579"," ",
="00685L","群益臺灣加權正2","99,000","3,000","4,000","0","98,000","6,909,750","1,085,000","0","1,000","0","1,084,000","395,970"," ",
="00686R","群益臺灣加權反1","0","0","0","0","0","20,819,000","735,000","0","0","0","735,000","941,945"," ",
="00688L","國泰20年美債正2","373,000","105,000","3,000","0","475,000","441,653,750","92,149,000","0","0","0","92,149,000","6,451,598"," ",
="00689R","國泰20年美債反1","0","0","0","0","0","2,222,250","0","0","0","0","0","25,559"," ",
="00690","兆豐藍籌30","0","0","0","0","0","22,957,500","1,135,000","0","0","0","1,135,000","411,182"," ",
="00692","富邦公司治理","0","1,000","0","0","1,000","177,445,000","10,541,000","140,000","300,000","0","10,381,000","734,128"," ",
="00693U","期街口S&P黃豆","1,000","0","0","0","1,000","9,416,500","419,000","0","0","0","419,000","131,440"," ",
="00700","富邦恒生國企","2,000","2,000","2,000","0","2,000","18,120,750","1,706,000","0","0","0","1,706,000","773,558"," ",
="00701","國泰股利精選30","0","0","0","0","0","48,972,750","1,514,000","0","0","0","1,514,000","342,635"," ",
="00702","國泰標普低波高息","0","0","0","0","0","1,547,000","1,000","0","0","0","1,000","32,628","X ",
="00703","台新MSCI中國","0","0","0","0","0","4,137,500","51,000","0","0","0","51,000","113,467"," ",
="00706L","期元大S&P日圓正2","0","0","0","0","0","0","0","0","0","0","0","0","XV ",
="00707R","期元大S&P日圓反1","0","0","0","0","0","1,588,750","0","0","0","0","0","339","X ",
="00708L","期元大S&P黃金正2","430,000","32,000","1,000","0","461,000","9,768,250","838,000","40,000","0","0","878,000","538,130"," ",
="00709","富邦歐洲","0","0","0","0","0","1,990,000","66,000","0","0","0","66,000","25,430"," ",
="00710B","復華彭博非投等債","0","0","0","0","0","52,065,250","614,000","0","0","0","614,000","520,590","X ",
="00711B","復華彭博新興債","0","0","0","0","0","251,815,250","241,000","0","0","0","241,000","50,692","X ",
="00712","復華富時不動產","0","0","0","0","0","841,377,750","31,811,000","989,000","0","0","32,800,000","8,137,239","X ",
="00713","元大台灣高息低波","0","0","0","0","0","608,253,000","17,137,000","895,000","31,000","0","18,001,000","3,554,313","X ",
="00714","群益道瓊美國地產","0","0","0","0","0","6,891,750","447,000","0","0","0","447,000","108,929"," ",
="00715L","期街口布蘭特正2","7,400,000","188,000","276,000","0","7,312,000","167,846,000","17,226,000","0","0","0","17,226,000","9,606,752"," ",
="00717","富邦美國特別股","0","0","0","0","0","40,276,250","309,000","0","0","0","309,000","38,747"," ",
="00728","第一金工業30","0","0","0","0","0","12,105,750","546,000","64,000","0","0","610,000","82,761","X ",
="00730","富邦臺灣優質高息","0","0","0","0","0","20,011,000","838,000","0","0","0","838,000","124,226","X ",
="00731","復華富時高息低波","0","0","0","0","0","15,525,000","894,000","0","65,000","0","829,000","345,047"," ",
="00733","富邦臺灣中小","24,000","0","1,000","0","23,000","42,616,500","6,014,000","70,000","703,000","0","5,381,000","664,905"," ",
="00735","國泰臺韓科技","0","0","0","0","0","4,697,250","229,000","0","0","0","229,000","59,518"," ",
="00736","國泰新興市場","0","0","0","0","0","1,431,750","56,000","0","0","0","56,000","40,815"," ",
="00737","國泰AI機器人","0","0","0","0","0","5,384,500","565,000","0","0","0","565,000","64,259"," ",
="00738U","期元大道瓊白銀","19,000","7,000","0","0","26,000","15,074,750","1,032,000","0","78,000","0","954,000","326,121"," ",
="00739","元大MSCI A股","0","0","0","0","0","8,372,000","152,000","0","0","0","152,000","27,402"," ",
="00752","中信中國50","30,000","10,000","10,000","0","30,000","79,304,000","7,448,000","0","173,000","0","7,275,000","2,746,175"," ",
="00753L","中信中國50正2","12,074,000","2,129,000","586,000","0","13,617,000","226,789,250","39,575,000","45,000","754,000","0","38,866,000","19,081,421"," ",
="00757","統一FANG+","117,000","3,000","10,000","0","110,000","131,748,500","15,408,000","0","323,000","0","15,085,000","2,886,180"," ",
="00762","元大全球AI","0","0","0","0","0","16,312,000","613,000","0","0","0","613,000","163,028"," ",
="00763U","期街口道瓊銅","9,000","0","1,000","0","8,000","7,641,250","262,000","0","0","0","262,000","86,240"," ",
="00770","國泰北美科技","1,000","0","0","0","1,000","34,489,500","3,502,000","0","121,000","0","3,381,000","720,460"," ",
="00771","元大US高息特別股","0","0","0","0","0","4,431,250","50,000","0","0","0","50,000","11,833"," ",
="00775B","新光投等債15+","0","0","0","0","0","58,150,000","0","0","0","0","0","8,659"," ",
="00783","富邦中証500","0","0","0","0","0","3,507,750","275,000","0","0","0","275,000","83,227"," ",
="00830","國泰費城半導體","549,000","9,000","14,000","0","544,000","251,866,250","20,410,000","0","69,000","0","20,341,000","4,581,712"," ",
="00850","元大臺灣ESG永續","2,000","0","0","0","2,000","114,361,000","7,665,000","0","0","0","7,665,000","545,003"," ",
="00851","台新全球AI","0","0","0","0","0","2,381,250","63,000","0","0","0","63,000","70,469"," ",
="00852L","國泰美國道瓊正2","112,000","2,000","12,000","0","102,000","4,591,250","297,000","0","0","0","297,000","297,074"," ",
="00861","元大全球未來通訊","0","0","0","0","0","24,228,000","628,000","0","0","0","628,000","28,133"," ",
="00865B","國泰US短期公債","0","0","0","0","0","4,061,000","105,000","0","0","0","105,000","43,412"," ",
="00875","國泰網路資安","0","0","0","0","0","3,997,000","387,000","0","35,000","0","352,000","60,918"," ",
="00876","元大全球5G","0","0","0","0","0","28,381,000","737,000","0","0","0","737,000","73,588"," ",
="00878","國泰永續高股息","93,000","30,000","51,000","0","72,000","4,719,572,500","190,164,000","1,379,000","8,574,000","0","182,969,000","26,160,560"," ",
="00881","國泰台灣5G+","18,000","14,000","2,000","0","30,000","637,225,750","23,874,000","1,328,000","576,000","0","24,626,000","3,029,096"," ",
="00882","中信中國高股息","115,000","23,000","25,000","0","113,000","741,712,250","31,086,000","0","0","0","31,086,000","6,477,315"," ",
="00885","富邦越南","229,000","17,000","1,000","0","245,000","380,184,500","10,013,000","0","0","0","10,013,000","1,801,221"," ",
="00891","中信關鍵半導體","0","1,000","0","0","1,000","279,022,500","14,949,000","411,000","0","0","15,360,000","2,301,433"," ",
="00892","富邦台灣半導體","0","0","0","0","0","84,198,000","4,225,000","154,000","0","0","4,379,000","554,433"," ",
="00893","國泰智能電動車","38,000","0","3,000","0","35,000","140,346,000","7,645,000","35,000","0","0","7,680,000","1,309,462"," ",
="00894","中信小資高價30","0","0","0","0","0","33,502,250","2,027,000","0","0","0","2,027,000","1,077,900"," ",
="00895","富邦未來車","30,000","0","0","0","30,000","66,854,000","4,716,000","0","0","0","4,716,000","579,025"," ",
="00896","中信綠能及電動車","0","0","0","0","0","56,970,000","3,063,000","215,000","0","0","3,278,000","323,508","X ",
="00897","富邦基因免疫生技","0","0","0","0","0","51,128,000","2,981,000","0","0","0","2,981,000","219,089"," ",
="00898","國泰基因免疫革命","0","0","0","0","0","53,744,000","767,000","0","0","0","767,000","185,439"," ",
="00899","FT潔淨能源","0","0","0","0","0","8,033,750","551,000","0","104,000","0","447,000","30,095"," ",
="00900","富邦特選高股息30","0","0","0","0","0","510,381,250","36,050,000","170,000","0","0","36,220,000","2,544,301","X ",
="00901","永豐智能車供應鏈","0","0","0","0","0","19,712,250","1,111,000","0","148,000","0","963,000","82,604"," ",
="00902","中信電池及儲能","10,000","0","0","0","10,000","125,499,250","6,807,000","0","0","0","6,807,000","526,838"," ",
="00903","富邦元宇宙","2,000","0","0","0","2,000","30,930,250","1,526,000","0","0","0","1,526,000","138,718"," ",
="00904","新光臺灣半導體30","0","0","0","0","0","24,528,000","1,033,000","0","0","0","1,033,000","281,296"," ",
="00905","FT臺灣Smart","29,000","0","0","0","29,000","133,456,750","7,285,000","0","6,000","0","7,279,000","1,466,990"," ",
="00907","永豐優息存股","0","0","0","0","0","75,658,250","3,746,000","0","0","0","3,746,000","739,656"," ",
="00908","富邦入息REITs+","0","0","0","0","0","10,104,000","1,592,000","0","0","0","1,592,000","154,478"," ",
="00909","國泰數位支付服務","62,000","10,000","3,000","0","69,000","57,301,000","5,732,000","0","30,000","0","5,702,000","2,292,917"," ",
="00910","第一金太空衛星","0","0","0","0","0","12,109,750","570,000","48,000","0","0","618,000","607,852"," ",
="00911","兆豐洲際半導體","0","0","0","0","0","7,350,750","395,000","0","0","0","395,000","140,516"," ",
="00912","中信臺灣智慧50","0","0","0","0","0","21,813,250","1,923,000","0","0","0","1,923,000","317,435"," ",
="00913","兆豐台灣晶圓製造","0","0","0","0","0","2,941,500","13,000","0","0","0","13,000","77,243"," ",
="00915","凱基優選高股息30","0","0","0","0","0","427,245,750","20,611,000","0","323,000","0","20,288,000","2,938,245","X ",
="00916","國泰全球品牌50","0","0","0","0","0","21,354,750","2,614,000","0","0","0","2,614,000","210,517"," ",
="00917","中信特選金融","0","0","0","0","0","10,369,500","871,000","240,000","0","0","1,111,000","301,807"," ",
="00918","大華優利高填息30","0","0","0","0","0","829,566,000","27,554,000","2,894,000","0","0","30,448,000","6,903,161","X ",
="00919","群益台灣精選高息","0","0","0","0","0","3,651,908,750","158,251,000","14,531,000","752,000","0","172,030,000","23,211,363","X ",
="00920","富邦ESG綠色電力","0","0","0","0","0","3,570,000","449,000","0","0","0","449,000","81,297"," ",
="00921","兆豐龍頭等權重","0","0","0","0","0","38,567,500","1,177,000","0","0","0","1,177,000","256,879","X ",
="00922","國泰台灣領袖50","0","0","0","0","0","254,171,500","69,123,000","2,880,000","81,000","0","71,922,000","4,079,130","X ",
="00923","群益台ESG低碳50","32,000","0","0","0","32,000","231,105,750","6,981,000","50,000","0","0","7,031,000","2,175,152"," ",
="00924","復華S&P500成長","9,000","0","0","0","9,000","120,400,750","13,822,000","200,000","0","0","14,022,000","3,021,926"," ",
="00925","新光標普電動車","0","0","0","0","0","1,437,750","10,000","0","0","0","10,000","64,554","X ",
