"114年03月18日 信用額度總量管制餘額表"
"股票",,"融券",,,,,,"借券賣出",,,,,,"",
"代號","名稱","前日餘額","賣出","買進","現券","今日餘額","次一營業日限額","前日餘額","當日賣出","當日還券","當日調整","當日餘額","次一營業日可限額","備註",
="0050","元大台灣50","35,000","0","35,000","0","0","669,250,000","35,658,000","80,000","7,847,000","0","27,891,000","5,501,153","X ",
="0051","元大中型100","0","0","0","0","0","6,375,000","366,000","0","0","0","366,000","35,455"," ",
="0052","富邦科技","4,000","0","0","0","4,000","20,625,000","1,174,000","1,000","0","0","1,175,000","227,198"," ",
="0053","元大電子","0","0","0","0","0","1,372,000","51,000","0","0","0","51,000","4,734"," ",
="0055","元大MSCI金融","0","0","0","0","0","18,913,500","390,000","0","0","0","390,000","38,810"," ",
="0056","元大高股息","41,000","5,000","0","0","46,000","2,817,633,500","93,101,000","23,000","9,000","0","93,115,000","9,560,548"," ",
="0057","富邦摩台","0","0","0","0","0","381,750","0","0","0","0","0","6,322","X ",
="0061","元大寶滬深","5,000","6,000","0","0","11,000","37,904,000","993,000","0","0","0","993,000","168,946"," ",
="006203","元大MSCI台灣","0","0","0","0","0","2,554,500","8,000","0","0","0","8,000","3,185","X ",
="006204","永豐臺灣加權","0","0","0","0","0","375,000","0","0","0","0","0","2,363"," ",
="006205","富邦上証","0","0","0","0","0","35,234,750","1,601,000","0","0","0","1,601,000","186,018"," ",
="006206","元大上證50","1,000","0","0","0","1,000","11,069,500","895,000","0","0","0","895,000","65,411"," ",
="006207","復華滬深","0","0","0","0","0","8,098,000","730,000","0","0","0","730,000","65,254"," ",
="006208","富邦台50","14,000","2,000","0","0","16,000","487,885,000","52,966,000","633,000","0","0","53,599,000","3,756,300"," ",
="00631L","元大台灣50正2","2,274,000","104,000","94,000","0","2,284,000","38,146,000","6,754,000","52,000","24,000","0","6,782,000","1,532,891"," ",
