"114年03月17日 信用額度總量管制餘額表"
"股票",,"融券",,,,,,"借券賣出",,,,,,"",
"代號","名稱","前日餘額","賣出","買進","現券","今日餘額","次一營業日限額","前日餘額","當日賣出","當日還券","當日調整","當日餘額","次一營業日可限額","備註",
="0050","元大台灣50","48,000","7,000","20,000","0","35,000","669,000,000","33,138,000","2,616,000","96,000","0","35,658,000","6,064,964","X ",
="0051","元大中型100","0","0","0","0","0","6,375,000","383,000","0","17,000","0","366,000","37,532"," ",
="0052","富邦科技","3,000","1,000","0","0","4,000","20,625,000","1,174,000","0","0","0","1,174,000","247,189"," ",
="0053","元大電子","0","0","0","0","0","1,372,000","51,000","0","0","0","51,000","4,902"," ",
="0055","元大MSCI金融","0","0","0","0","0","18,913,500","390,000","0","0","0","390,000","39,565"," ",
="0056","元大高股息","38,000","3,000","0","0","41,000","2,815,758,500","93,101,000","0","0","0","93,101,000","10,496,364"," ",
="0057","富邦摩台","0","0","0","0","0","381,750","0","0","0","0","0","6,400","X ",
="0061","元大寶滬深","5,000","0","0","0","5,000","37,904,000","993,000","0","0","0","993,000","168,747"," ",
="006203","元大MSCI台灣","0","0","0","0","0","2,554,500","8,000","0","0","0","8,000","3,330","X ",
="006204","永豐臺灣加權","0","0","0","0","0","375,000","0","0","0","0","0","2,456"," ",
="006205","富邦上証","0","0","0","0","0","35,234,750","1,601,000","0","0","0","1,601,000","191,552"," ",
="006206","元大上證50","1,000","0","0","0","1,000","11,069,500","895,000","0","0","0","895,000","66,531"," ",
="006207","復華滬深","0","0","0","0","0","8,098,000","730,000","0","0","0","730,000","66,602"," ",
="006208","富邦台50","16,000","0","2,000","0","14,000","487,635,000","52,899,000","67,000","0","0","52,966,000","4,428,141"," ",
="00631L","元大台灣50正2","2,263,000","154,000","143,000","0","2,274,000","38,146,000","6,749,000","5,000","0","0","6,754,000","1,676,463"," ",
="00632R","元大台灣50反1","6,290,000","31,000","123,000","0","6,198,000","285,801,932","32,650,000","0","2,000","0","32,648,000","7,247,770"," ",
="00633L","富邦上証正2","1,461,000","13,000","120,000","0","1,354,000","70,614,500","17,113,000","0","0","0","17,113,000","2,363,973"," ",
="00634R","富邦上証反1","57,000","10,000","0","0","67,000","11,689,000","43,000","0","0","0","43,000","120,957"," ",
="00635U","期元大S&P黃金","75,000","1,000","0","0","76,000","11,628,500","1,051,000","0","0","0","1,051,000","381,875"," ",
="00636","國泰中國A50","23,000","0","0","0","23,000","46,831,250","2,209,000","0","0","0","2,209,000","560,015"," ",
="00637L","元大滬深300正2","9,652,000","306,000","236,000","0","9,722,000","520,526,500","99,345,000","248,000","2,717,000","0","96,876,000","24,775,313"," ",
="00638R","元大滬深300反1","17,000","0","0","0","17,000","9,112,000","849,000","0","0","0","849,000","218,458"," ",
="00639","富邦深100","96,000","0","0","0","96,000","52,475,750","3,915,000","0","0","0","3,915,000","631,966"," ",
="00640L","富邦日本正2","108,000","4,000","0","0","112,000","3,979,750","622,000","0","0","0","622,000","158,607"," ",
="00641R","富邦日本反1","202,000","0","5,000","0","197,000","12,939,500","0","6,000","0","0","6,000","422,429"," ",
="00642U","期元大S&P石油","43,000","4,000","0","2,000","45,000","36,580,250","2,516,000","0","0","0","2,516,000","1,088,855"," ",
="00643","群益深証中小","0","0","0","0","0","31,768,250","6,101,000","30,000","0","0","6,131,000","1,216,072"," ",
="00645","富邦日本","1,000","0","0","0","1,000","17,749,250","1,127,000","10,000","0","0","1,137,000","165,703"," ",
="00646","元大S&P500","3,000","0","0","0","3,000","138,621,250","13,844,000","0","0","0","13,844,000","1,672,100"," ",
="00647L","元大S&P500正2","12,000","1,000","0","0","13,000","2,979,000","385,000","0","0","0","385,000","90,463"," ",
="00648R","元大S&P500反1","385,000","0","0","0","385,000","36,047,000","1,869,000","0","0","0","1,869,000","543,048"," ",
="00650L","復華香港正2","6,467,000","361,000","195,000","0","6,633,000","59,709,500","17,792,000","0","0","0","17,792,000","6,091,800"," ",
="00651R","復華香港反1","3,000","0","0","0","3,000","13,048,000","1,500,000","0","0","0","1,500,000","1,030,748"," ",
="00652","富邦印度","9,000","0","0","0","9,000","25,383,750","2,284,000","0","0","0","2,284,000","166,530"," ",
="00653L","富邦印度正2","27,000","0","0","0","27,000","5,850,750","691,000","0","0","0","691,000","143,354"," ",
="00654R","富邦印度反1","169,000","0","0","0","169,000","5,241,500","19,000","0","0","0","19,000","73,173"," ",
="00655L","國泰中國A50正2","558,000","5,000","21,000","0","542,000","38,989,500","9,051,000","0","0","0","9,051,000","1,613,507"," ",
="00656R","國泰中國A50反1","1,000","0","0","0","1,000","5,464,250","9,000","0","0","0","9,000","96,064"," ",
="00657","國泰日經225","0","0","0","0","0","2,771,000","180,000","0","0","0","180,000","102,207"," ",
="00660","元大歐洲50","0","0","0","0","0","1,757,750","1,000","0","0","0","1,000","13,517"," ",
="00661","元大日經225","0","0","0","0","0","8,981,250","717,000","0","0","0","717,000","59,255"," ",
="00662","富邦NASDAQ","3,000","0","0","0","3,000","156,382,250","16,414,000","0","700,000","0","15,714,000","1,708,464"," ",
="00663L","國泰臺灣加權正2","0","0","0","0","0","327,250","16,000","0","0","0","16,000","16,335","X ",
="00664R","國泰臺灣加權反1","932,000","0","11,000","0","921,000","139,393,750","18,601,000","3,000","102,000","0","18,502,000","4,669,580"," ",
="00665L","富邦恒生國企正2","12,753,000","938,000","205,000","0","13,486,000","155,866,250","58,888,000","0","0","0","58,888,000","3,458,500"," ",
="00666R","富邦恒生國企反1","5,000","0","0","0","5,000","4,156,000","216,000","0","0","0","216,000","450,479"," ",
="00668","國泰美國道瓊","0","0","0","0","0","3,758,250","150,000","0","0","0","150,000","65,070"," ",
="00669R","國泰美國道瓊反1","559,000","5,000","0","0","564,000","50,404,250","1,626,000","0","427,000","0","1,199,000","922,196"," ",
="00670L","富邦NASDAQ正2","844,000","130,000","12,000","0","962,000","23,286,250","1,402,000","0","0","0","1,402,000","704,819"," ",
="00671R","富邦NASDAQ反1","2,615,000","55,000","9,000","0","2,661,000","97,971,000","9,896,000","0","0","0","9,896,000","2,592,871"," ",
="00673R","期元大S&P原油反1","103,000","0","0","0","103,000","0","1,591,000","0","111,000","0","1,480,000","6,370,250","X ",
="00674R","期元大S&P黃金反1","5,000","0","0","0","5,000","13,650,750","723,000","0","0","0","723,000","454,391"," ",
="00675L","富邦臺灣加權正2","1,028,000","53,000","29,000","0","1,052,000","43,196,500","9,567,000","0","0","0","9,567,000","1,631,349"," ",
="00676R","富邦臺灣加權反1","25,000","1,000","2,000","0","24,000","20,958,420","770,000","0","0","0","770,000","1,469,958"," ",
="00678","群益那斯達克生技","0","0","0","0","0","2,237,000","212,000","0","0","0","212,000","147,674"," ",
="00680L","元大美債20正2","1,409,000","0","17,000","0","1,392,000","985,894,000","185,158,000","255,000","0","0","185,413,000","13,562,998"," ",
