"114年04月24日 信用額度總量管制餘額表"
"股票",,"融券",,,,,,"借券賣出",,,,,,"",
"代號","名稱","前日餘額","賣出","買進","現券","今日餘額","次一營業日限額","前日餘額","當日賣出","當日還券","當日調整","當日餘額","次一營業日可限額","備註",
="0050","元大台灣50","408,000","14,000","18,000","0","404,000","738,375,000","22,064,000","657,000","1,792,000","0","20,929,000","685,922"," ",
="0051","元大中型100","0","0","0","0","0","6,500,000","493,000","2,000","0","0","495,000","3,305","X ",
="0052","富邦科技","0","0","0","0","0","20,875,000","1,168,000","0","10,000","0","1,158,000","25,134"," ",
="0053","元大電子","0","0","0","0","0","1,372,000","51,000","0","0","0","51,000","489"," ",
="0055","元大MSCI金融","0","0","0","0","0","18,788,500","338,000","0","0","0","338,000","6,863"," ",
="0056","元大高股息","41,000","22,000","6,000","0","57,000","3,262,508,500","112,120,000","0","0","0","112,120,000","2,903,729"," ",
="0057","富邦摩台","0","0","0","0","0","381,750","0","0","0","0","0","691","X ",
="0061","元大寶滬深","15,000","0","0","0","15,000","36,279,000","989,000","0","0","0","989,000","17,647"," ",
="006203","元大MSCI台灣","0","0","0","0","0","2,554,500","8,000","0","0","0","8,000","279","X ",
="006204","永豐臺灣加權","0","0","0","0","0","375,000","0","0","0","0","0","509"," ",
="006205","富邦上証","3,000","0","0","0","3,000","34,109,750","1,304,000","0","0","0","1,304,000","21,613"," ",
="006206","元大上證50","1,000","0","0","0","1,000","10,569,500","729,000","0","0","0","729,000","7,351"," ",
="006207","復華滬深","0","0","0","0","0","7,723,000","645,000","0","0","0","645,000","7,351"," ",
="006208","富邦台50","21,000","9,000","0","0","30,000","526,010,000","49,214,000","120,000","700,000","0","48,634,000","393,292"," ",
="00631L","元大台灣50正2","1,851,000","262,000","148,000","0","1,965,000","60,396,000","8,125,000","298,000","0","0","8,423,000","343,661"," ",
="00632R","元大台灣50反1","9,132,000","183,000","284,000","0","9,031,000","341,426,932","16,574,000","500,000","38,000","0","17,036,000","1,756,460"," ",
="00633L","富邦上証正2","1,291,000","26,000","26,000","0","1,291,000","65,614,500","11,653,000","76,000","0","0","11,729,000","306,379"," ",
="00634R","富邦上証反1","55,000","0","0","0","55,000","11,689,000","43,000","0","0","0","43,000","23,511"," ",
="00635U","期元大S&P黃金","730,000","8,000","35,000","321,000","382,000","37,378,500","948,000","0","195,000","0","753,000","186,261"," ",
="00636","國泰中國A50","6,000","0","0","0","6,000","45,706,250","3,249,000","0","50,000","0","3,199,000","75,218"," ",
="00637L","元大滬深300正2","6,179,000","164,000","22,000","0","6,321,000","467,151,500","72,581,000","0","2,000,000","0","70,581,000","2,358,834"," ",
="00638R","元大滬深300反1","15,000","0","0","0","15,000","13,237,000","756,000","0","0","0","756,000","41,020"," ",
="00639","富邦深100","2,000","0","0","0","2,000","48,475,750","3,412,000","0","100,000","0","3,312,000","66,745"," ",
="00640L","富邦日本正2","120,000","1,000","26,000","0","95,000","4,729,750","688,000","0","0","0","688,000","39,088"," ",
="00641R","富邦日本反1","188,000","0","0","0","188,000","11,939,500","433,000","0","0","0","433,000","90,792"," ",
="00642U","期元大S&P石油","51,000","0","2,000","0","49,000","36,455,250","2,595,000","93,000","0","0","2,688,000","154,160"," ",
="00643","群益深証中小","11,000","0","0","0","11,000","29,893,250","4,077,000","0","0","0","4,077,000","98,231"," ",
="00645","富邦日本","0","0","0","0","0","16,374,250","1,413,000","0","0","0","1,413,000","19,255"," ",
="00646","元大S&P500","6,000","0","0","0","6,000","142,121,250","14,213,000","0","0","0","14,213,000","116,069"," ",
="00647L","元大S&P500正2","3,000","1,000","0","0","4,000","3,729,000","224,000","0","0","0","224,000","17,108"," ",
="00648R","元大S&P500反1","315,000","0","0","0","315,000","35,797,000","1,259,000","0","0","0","1,259,000","114,440"," ",
="00650L","復華香港正2","4,390,000","12,000","145,000","0","4,257,000","59,834,500","15,413,000","0","114,000","0","15,299,000","681,645"," ",
="00651R","復華香港反1","11,000","3,000","0","0","14,000","10,548,000","327,000","0","0","0","327,000","87,681"," ",
="00652","富邦印度","0","0","0","0","0","25,883,750","2,311,000","0","0","0","2,311,000","16,424"," ",
="00653L","富邦印度正2","27,000","2,000","0","0","29,000","5,100,750","524,000","0","0","0","524,000","14,257"," ",
="00654R","富邦印度反1","162,000","0","0","0","162,000","5,366,500","46,000","0","0","0","46,000","15,980"," ",
="00655L","國泰中國A50正2","414,000","24,000","0","0","438,000","35,614,500","7,362,000","0","250,000","0","7,112,000","154,355"," ",
="00656R","國泰中國A50反1","1,000","0","0","0","1,000","5,214,250","9,000","0","0","0","9,000","14,010"," ",
="00657","國泰日經225","0","0","0","0","0","2,271,000","204,000","0","0","0","204,000","6,289"," ",
="00660","元大歐洲50","0","0","0","0","0","1,882,750","1,000","0","0","0","1,000","2,711"," ",
="00661","元大日經225","0","0","0","0","0","8,231,250","719,000","0","0","0","719,000","6,488"," ",
="00662","富邦NASDAQ","7,000","0","0","0","7,000","154,507,250","14,140,000","79,000","46,000","0","14,173,000","95,508"," ",
="00663L","國泰臺灣加權正2","0","0","0","0","0","452,250","21,000","0","0","0","21,000","2,381"," ",
