"114年04月11日 信用額度總量管制餘額表"
"股票",,"融券",,,,,,"借券賣出",,,,,,"",
"代號","名稱","前日餘額","賣出","買進","現券","今日餘額","次一營業日限額","前日餘額","當日賣出","當日還券","當日調整","當日餘額","次一營業日可限額","備註",
="0050","元大台灣50","486,000","137,000","161,000","0","462,000","719,125,000","22,905,000","180,000","6,000","0","23,079,000","743,318"," ",
="0051","元大中型100","0","0","0","0","0","6,500,000","371,000","3,000","0","0","374,000","3,296"," ",
="0052","富邦科技","2,000","0","0","0","2,000","20,875,000","1,180,000","23,000","0","0","1,203,000","25,367"," ",
="0053","元大電子","0","0","0","0","0","1,372,000","51,000","0","0","0","51,000","507"," ",
="0055","元大MSCI金融","0","0","0","0","0","18,788,500","337,000","6,000","0","0","343,000","6,904"," ",
="0056","元大高股息","1,073,000","6,000","58,000","950,000","71,000","3,144,133,500","135,698,000","0","257,000","0","135,441,000","2,491,005"," ",
="0057","富邦摩台","0","0","0","0","0","381,750","0","0","0","0","0","646","X ",
="0061","元大寶滬深","14,000","0","0","0","14,000","37,029,000","989,000","0","0","0","989,000","19,664"," ",
="006203","元大MSCI台灣","0","0","0","0","0","2,679,500","8,000","0","0","0","8,000","290","X ",
="006204","永豐臺灣加權","0","0","0","0","0","375,000","0","0","0","0","0","521"," ",
="006205","富邦上証","3,000","0","0","0","3,000","34,609,750","1,304,000","0","0","0","1,304,000","20,714"," ",
="006206","元大上證50","2,000","0","0","0","2,000","10,819,500","749,000","0","0","0","749,000","8,837"," ",
="006207","復華滬深","0","0","0","0","0","7,973,000","738,000","0","0","0","738,000","7,881"," ",
="006208","富邦台50","39,000","0","32,000","0","7,000","513,885,000","51,477,000","329,000","0","0","51,806,000","470,143"," ",
="00631L","元大台灣50正2","1,350,000","726,000","465,000","10,000","1,601,000","48,771,000","6,850,000","11,000","0","0","6,861,000","302,333"," ",
="00632R","元大台灣50反1","11,181,000","373,000","2,014,000","11,000","9,529,000","258,301,932","21,822,000","300,000","6,913,000","0","15,209,000","1,418,278"," ",
="00633L","富邦上証正2","1,381,000","88,000","16,000","0","1,453,000","67,364,500","13,288,000","0","540,000","0","12,748,000","297,821"," ",
="00634R","富邦上証反1","57,000","0","0","0","57,000","11,689,000","43,000","0","0","0","43,000","25,489"," ",
="00635U","期元大S&P黃金","86,000","3,000","19,000","0","70,000","18,128,500","553,000","0","0","0","553,000","76,063"," ",
="00636","國泰中國A50","242,000","0","40,000","110,000","92,000","46,706,250","3,242,000","25,000","0","0","3,267,000","75,322"," ",
="00637L","元大滬深300正2","4,256,000","293,000","118,000","36,000","4,395,000","479,401,500","85,201,000","0","2,439,000","0","82,762,000","2,618,301"," ",
="00638R","元大滬深300反1","16,000","0","1,000","0","15,000","13,237,000","786,000","0","0","0","786,000","43,033"," ",
="00639","富邦深100","44,000","0","2,000","30,000","12,000","48,725,750","3,558,000","0","16,000","0","3,542,000","74,798"," ",
="00640L","富邦日本正2","72,000","36,000","18,000","0","90,000","4,729,750","694,000","1,000","0","0","695,000","34,679"," ",
="00641R","富邦日本反1","203,000","11,000","0","0","214,000","11,939,500","433,000","0","0","0","433,000","87,954"," ",
="00642U","期元大S&P石油","37,000","0","6,000","0","31,000","36,705,250","2,753,000","0","0","0","2,753,000","181,706"," ",
="00643","群益深証中小","1,000","0","0","0","1,000","30,893,250","4,968,000","0","0","0","4,968,000","108,806"," ",
="00645","富邦日本","4,000","0","1,000","0","3,000","16,374,250","1,373,000","19,000","0","0","1,392,000","20,160"," ",
="00646","元大S&P500","7,000","0","1,000","0","6,000","138,121,250","15,107,000","62,000","0","0","15,169,000","128,988"," ",
="00647L","元大S&P500正2","7,000","0","1,000","0","6,000","3,729,000","246,000","0","13,000","0","233,000","17,007"," ",
="00648R","元大S&P500反1","476,000","21,000","9,000","0","488,000","35,797,000","1,259,000","0","0","0","1,259,000","111,245"," ",
="00650L","復華香港正2","4,935,000","161,000","244,000","0","4,852,000","59,834,500","15,998,000","0","100,000","0","15,898,000","817,725"," ",
="00651R","復華香港反1","50,000","0","36,000","0","14,000","11,673,000","760,000","0","186,000","0","574,000","121,497"," ",
="00652","富邦印度","0","0","0","0","0","25,883,750","2,323,000","0","0","0","2,323,000","16,453"," ",
="00653L","富邦印度正2","26,000","2,000","2,000","0","26,000","5,350,750","662,000","0","0","0","662,000","16,328"," ",
="00654R","富邦印度反1","172,000","0","0","0","172,000","5,491,500","32,000","14,000","0","0","46,000","15,100"," ",
="00655L","國泰中國A50正2","264,000","24,000","6,000","0","282,000","36,739,500","9,094,000","0","0","0","9,094,000","170,852"," ",
="00656R","國泰中國A50反1","1,000","0","0","0","1,000","5,464,250","9,000","0","0","0","9,000","12,674"," ",
="00657","國泰日經225","0","0","0","0","0","2,521,000","198,000","0","0","0","198,000","7,754"," ",
="00660","元大歐洲50","0","0","0","0","0","1,882,750","1,000","0","0","0","1,000","2,362"," ",
="00661","元大日經225","1,000","0","1,000","0","0","8,731,250","717,000","0","0","0","717,000","6,980"," ",
="00662","富邦NASDAQ","7,000","1,000","0","0","8,000","152,382,250","14,403,000","147,000","2,000","0","14,548,000","127,958"," ",
="00663L","國泰臺灣加權正2","0","0","0","0","0","452,250","17,000","0","0","0","17,000","2,599"," ",
="00664R","國泰臺灣加權反1","2,334,000","127,000","472,000","0","1,989,000","137,143,750","8,853,000","0","1,653,000","0","7,200,000","792,549"," ",
="00665L","富邦恒生國企正2","5,385,000","704,000","366,000","0","5,723,000","164,741,250","60,458,000","0","64,000","0","60,394,000","2,418,361"," ",
="00666R","富邦恒生國企反1","20,000","0","4,000","0","16,000","4,156,000","66,000","0","0","0","66,000","52,678"," ",
